RAZÃO SOCIAL;NOME FANTASIA;CNPJ;NATUREZA JURIDICA;DATA INICIO OPERAÇÃO;PORTE;SITUAÇÃO;TIPO ATIVIDADE;SUBTIPO ATIVIDADE;CEP;UF;LOCALIDADE;BAIRRO;LOGRADOURO;TELEFONE;FAX;E-MAIL2;E-MAIL3;SITE;DATA GERAÇÃO CERTIFICADO;DATA VALIDADE CERTIFICADO;CÓDIGO CERTIFICADO;CÓDIGO E DESCRIÇÃO CNAE;ÁREA TOTAL DO ESTABELECIMENTO;AMBIENTAÇÃO;VOLUME DE ÁGUA;ESTRUTURA;LINGUAS;SERVIÇOS
COMPLEXO TURISTICO E RECREATIVO AGUAS DE PALMAS SC LTDA - EPP;AGUAS DE PALMAS;01.525.334/0001-41;Sociedade Simples;30/05/1999;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;88190000;SC;Governador Celso Ramos;Governador Celso Ramos;RUA DOS RECANTOS, 80;(48) 3262-8144;(48) 3262-8144;reservas@aguasdepalmas.com.br;marketing@aguasdepalmas.com.br;WWW.AGUASDEPALMAS.COM.BR;2014-07-30 14:06:59.499;2016-07-30;24.016695.65.0001-9;"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";24,000;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
CORSINO & CORSINO LTDA - ME;ARAUCARIA ACQUA PARK;02.873.477/0001-07;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;83706750;PR;Araucária;Capela Velha;RUA YOSHIAKI NAGANO, 121;(41) 3031-0303;(41) 3643-1364;carlinhos@araucariapark.com.br;agostinhoneto@brturbo.com.br;www.araucariapark.com.br;2015-05-28 14:40:17.647;2017-05-28;18.071139.65.0001-8;"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário), 8230-0/02-ESPAÇO PARA EXPOSIÇÃO, USO DE TERCEIROS; GESTÃO DE (Secundário)";60,000;;5,000,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY LTDA - EPP;DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY;01.249.796/0004-26;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79301970;MS;Corumbá;Centro;FAZ. IRACEMA, SN, 12 KM DA ESTAÇAO DE MARIA COELHO;(67) 3231-5487;;chavesiracema@gmail.com;;;2015-12-01 12:27:14.936;2017-12-01;12.075273.65.0004-4;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";20,000;;500,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
EMPREENDIMENTO TURISTICO E ECOLOGICO DO SOL LTDA - ME;BALNEÁRIO DO SOL;03.540.734/0001-51;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79290000;MS;Bonito;Bonito;ROD. DO TURISMO RIO FORMOSO S/N - KM 08;(67) 3255-3500;(67) 3255-1164;contato@balneariodosol.tur.br;escrita@asteccontabil.com;;2015-12-18 14:28:19.385;2017-12-18;12.057881.65.0001-9;"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";76,000;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
FAZENDA TERRA DA MATA EVENTOS, TURISMO E LAZER LTDA - ME;FAZENDA TERRA DA MATA EVENTOS, TURISMO E LAZER LTDA - ME;16.745.849/0001-24;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;18120000;SP;Mairinque;Mairinque;EST ANTONIO ALVES, N°: 249';(11) 4246-2158;;mario@fazendaterradamata.com.br;;www.fazendaterradamata.com.br;2015-07-31 16:32:09.363;2017-07-31;26.072566.65.0001-9;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";30,000;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
K.L.D EMPREENDIMENTOS TURISTICOS LTDA;BALNEÁRIO THERMAS CACHOEIRA DA FUMAÇA;36.937.118/0002-79;Sociedade Empresária;12/03/2004;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;78820000;MT;Jaciara;Jaciara;ESTRADA PARQUE CACHOEIRA DA FUMAÇA, KM 08;(66) 3461-2844;;contato@cachoeiradafumaca.com.br;;www.cachoeiradafumaca.com.br;2014-11-12 16:49:26.794;2016-11-12;13.007963.65.0002-7;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";30,000;;1,000,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
LAGOA THERMAS CLUBE, TURISMO, LAZER E ECOLOGIA;LAGOA TERMAS PARQUE;05.620.609/0001-87;Sociedade Empresária;11/04/2003;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75690000;GO;Caldas Novas;Caldas Novas;AV.LAGOA QUENTE;(64) 9640-3453;(64) 3453-3453;lagoathermasclube@hotmail.com;;;2014-09-22 14:49:55.22;2016-09-22;09.036883.65.0001-3;"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";40,000;;6,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
LISMAR LTDA;GAMESTATION;10.476.588/0016-94;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;49035500;SE;Aracaju;Coroa do Meio;AVENIDA DELMIRO GOUVEIA LOJAS 218A/219A 2º PISO;(81) 3201-0300;;marcela.marques@gstation.com.br;;;2016-04-19 10:19:18.635;2018-04-19;25.077128.65.0016-1;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1,215;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
M.F.J. M PEREIRA - ME;BALNEÁRIO JARINAL;06.060.554/0001-60;Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;69932000;AC;Brasiléia;Brasiléia;BR 317- KM.05 - RAMAL DA ALEGRIA DO CARMEM, 2210 - JARINAL;(68) 9904-5127;;jarinal@hotmail.com;;;2016-08-22 12:36:56.512;2018-08-22;01.065642.65.0001-1;"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-SELF-SERVICE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";1,000;;1,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
MARIA MADALENA SCHULLER EIRELI - ME;PARQUE AQUATICO SALTO DAS AGUAS;23.786.095/0001-16;Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;88450000;SC;Alfredo Wagner;Alfredo Wagner;ROD ESTADUAL SC 350, SN, KM 02;(48) 3276-1187;;schuller.renan@gmail.com;restaurante@saltodasaguas.com;www.saltodasaguas.com;2016-06-16 15:05:14.651;2018-06-16;24.079230.65.0001-8;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";50,000;;1,000,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
MARIO SERGIO VIAN PARQUE AQUATICO EIRELI - EPP;MIRANTE PRAIA CLUBE;20.115.027/0001-37;Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;15400000;SP;Olímpia;Olímpia;EST DIOGENES BREDA FILHO, S/N - KM: 18 FAZ FARINHA SECA;(17) 3279-9908;;financeiro@mirantepraiaclube.com.br;;;2014-08-25 12:55:07.184;2016-08-25;26.065755.65.0001-6;"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";10,000;;1,800;<UnknownType (2,002)>;<UnknownType (2,002)>;
ODY PARK PARQUE AQUÁTICO LTDA - ME;ODY PARK PARQUE AQUÁTICO;06.828.881/0001-10;Sociedade Empresária;19/08/2004;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;86750000;PR;Iguaraçu;Iguaraçu;"RODOVIA PR 317, LOTE DE TERRAS ""1-J""  S/Nº";(44) 3248-8000;(44) 3248-8025;financeiro@odypark.com.br;comercial@odypark.com.br;www.odypark.com.br;2016-05-23 10:26:07.448;2018-05-23;18.013442.65.0001-7;"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";30,001;;3,000,001;<UnknownType (2,002)>;<UnknownType (2,002)>;
OHS PARTICIPAÇÕES E EMPREENDIMENTOS LTDA ME;SUNSET CABLE  PARK;11.463.923/0002-87;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75250000;GO;Senador Canedo;Senador Canedo;ROD GO 020 S/N KM 16 MARGEM ESQUERDA SENTIDO GOIANIA A BELA VISTA DE GOIÁS ZONA RURAL;(62) 3282-3888;;lucimar.oliver@gmail.com;;;2016-05-30 09:48:58.219;2018-05-30;09.042909.65.0002-4;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";48,400;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PARADA DOS GUARÁS PARQUE E RESTAURANTE LTDA-ME;PARADA DOS GUARÁS;10.638.730/0001-76;Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;68790000;PA;Santa Isabel do Pará;Santa Isabel do Pará;ROD. BR 316, KM 52;(91) 3725-1259;;danielnetto.engcome@gmail.com;;;2015-07-08 13:39:23.202;2017-07-08;14.072034.65.0001-3;"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";16,500;;1,700,000;<UnknownType (2,002)>;<UnknownType (2,002)>;
PARANÃ TURISMO RURAL LTDA;DOM FERNANDO;37.604.261/0001-20;Sociedade Empresária;01/11/2002;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;73801970;GO;Formosa;Centro;RODOVIA GO 116 KM 07 (CX POSTAL 171);(61) 9963-6879;;domfernandofsa@gmail.com;;WWW.DOMFERNANDO.COM.BR;2014-07-23 17:05:07.344;2016-07-23;09.065010.65.0001-0;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";0;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PARK DIVERSÕES LTDA - EPP;PLANET PARK;06.183.369/0002-44;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;78050250;MT;Cuiabá;Jardim Aclimação;AV. RUBENS DE MENDONÇA, 3300 - LOJA 302;(65) 3025-3252;(65) 3025-3252;mauricio@planetpark.com.br;;;2015-08-21 16:10:22.243;2017-08-21;13.047893.65.0002-5;"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";593;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PARQUE HANDARA EIRELI - ME;PARQUE HANDARA;23.650.365/0001-67;Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;62766000;CE;Guaramiranga;Guaramiranga;SITIO MONTE FLOR, Nº 530, ZONA RURAL;(85) 3321-1121;;marcelodecastro@innovacontabilidade.com;;;2016-01-11 11:42:13.883;2018-01-11;06.076055.65.0001-4;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";94,508;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PINATOS COMERCIO E SERVIÇOS LTDA. ME;PINATOS HOTEL;08.248.433/0001-72;Sociedade Empresária;25/09/2006;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;73770000;GO;Alto Paraíso de Goiás;Alto Paraíso de Goiás;AV. ENGENHEIRO ARY RIBEIRO VALADAO FILHO 610, CENTRO;(62) 3446-1778;;pinatos.hotel@terra.com.br;advjacauna@hotmail.com;;2015-07-14 14:58:22.376;2017-07-14;09.029416.65.0001-9;"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";15;;30;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLANET PARK DIVERSÕES LTDA - EPP;PLANET PARK;03.456.112/0001-40;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;78060601;MT;Cuiabá;Jardim das Américas;AV. BRASÍLIA, 146, 2º PISO, LOJA 364, JARDIM DAS AMERICAS;(65) 3025-3252;;mauricio@planetpark.com.br;;;2015-07-27 12:50:13.709;2017-07-27;13.047896.65.0001-0;9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Primário);677;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS  LTDA;PLAY ONE EMPREENDIMENTOS  LTDA;04.933.060/0012-70;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;6020010;SP;Osasco;Vila Yara;A V DOS AUTONOMISTAS, N°: 1400: ANCORA G - NIVEL AUTONOMISTAS;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-22 13:35:04.848;2017-06-22;26.010954.65.0012-4;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";1,739;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS;04.933.060/0016-02;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79031010;MS;Campo Grande;Santa Fé;AV. AFONSO PENA, 4909, NIVEL FURNAS, SAO COMERC 608, 2 PISO;(67) 3326-1027;(11) 2244-6321;claudia.paiva@playcenter.com.br;;;2015-09-14 12:48:52.616;2017-09-14;12.010958.65.0016-4;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";72,780;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS;04.933.060/0017-85;Sociedade Simples;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;90560003;RS;Porto Alegre;Floresta;AV. CRISTOVÃO COLOMBO N. 545/2228;(51) 3058-7780;;claudia.paiva@playcenter.com.br;;;2015-10-08 11:25:43.083;2017-10-08;23.010959.65.0017-1;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";75,140;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0001-18;Sociedade Empresária;24/04/2002;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5038120;SP;São Paulo;Parque Residencial da Lapa;RUA PROFESSOR CLEMENTE PASTORE, 52;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-07-01 15:15:27.174;2017-07-01;26.010957.65.0001-0;"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Secundário)";1,998;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0004-60;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;2047050;SP;São Paulo;Vila Guilherme;TV CASALBUONO, N°: 120;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-22 13:30:40.597;2017-06-22;26.010953.65.0004-3;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";0;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0005-41;Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;4661200;SP;São Paulo;Jardim Umuarama;AV INTERLAGOS, 2255;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-19 15:51:06.834;2017-06-19;26.010950.65.0005-9;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1,389;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;04.933.060/0006-22;Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;4151100;SP;São Paulo;Bosque da Saúde;PRAÇA LEONOR KAUPA, 100 - LOJA 325 A/B - PISO INDEPENDENCIA;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;2015-06-19 15:45:49.244;2017-06-19;26.010949.65.0006-5;"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";378;;0;<UnknownType (2,002)>;<UnknownType (2,002)>;
