"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
"A DIRECTCAR LOCADORA LTDA";"DIRECTCAR LOCADORA";"04.071.010/0001-79";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";70330400;"DF";"Brasília";"Asa Sul";"SHC/SUL EQ 102/103 BLOCO ""A"" LOJAS 31 E 35";"(61) 3323-2122";"(61) 3323-2122";"directcar04@terra.com.br";"";"www.directcarlocadora.com.br";"07/07/2014";"07/07/2016";"07.063984.85.0001-6";"4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Espanhol)";1
"A DIRECTCAR LOCADORA LTDA";"DIRECTCAR LOCADORA";"04.071.010/0001-79";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";70330400;"DF";"Brasília";"Asa Sul";"SHC/SUL EQ 102/103 BLOCO ""A"" LOJAS 31 E 35";"(61) 3323-2122";"(61) 3323-2122";"directcar04@terra.com.br";"";"www.directcarlocadora.com.br";"07/07/2014";"07/07/2016";"07.063984.85.0001-6";"4923-0/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Espanhol)";35
"A L AUTO LOCADORA LTDA  ME";"A L AUTO LOCADORA";"16.444.562/0001-64";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";95670000;"RS";"Gramado";"Gramado";"RUA IRINEU TOMAZELLI, 337";"(54) 9967-0325";"";"contatolocadota@gmail.com.br";"";"";"28/08/2014";"28/08/2016";"23.065878.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Alemão)";15
"A N M DOS SANTOS LOCAÇÃO DE VEÍCULOS";"TRIX RENT A CAR SERVICE";"13.779.832/0001-08";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";28923040;"RJ";"Cabo Frio";"Jacaré";"RUA DO POMAR, 07 - ANEXO";"(22) 2644-7181";"(22) 2644-7181";"trixrentacar@hotmail.com";"trixrentacarservice@gmail.com";"www.trixrentacar.com.br";"31/03/2014";"31/03/2016";"19.046724.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(Espanhol)";3
"A P BARBOZA - ME";"MAX'S";"02.933.694/0001-45";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79240000;"MS";"Jardim";"Jardim";"AV. DUQUE DE CAXIAS,  1960";"(67) 3251-2147";"(67) 3251-2147";"aroldobarbosa@hotmail.com";"";"http://www.shopcar.com.br/loja.phploja820";"20/01/2016";"20/01/2018";"12.053507.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";4
"A&R LTDA - ME";"A&R RENT A CAR";"04.704.328/0001-40";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";64001210;"PI";"Teresina";"Centro";"RUA SETE DE SETEMBRO Nº 114 SL 202";"(86) 99969-1166";"";"adriano.c.soares@hotmail.com";"";"";"08/03/2016";"08/03/2018";"17.077127.85.0001-9";"7711-0/00-LOCADORA DE AUTOS (Primário)";"(""Nenhuma das Opções"")";10
"A. C. LANZA LOPES - ME";"LANZATUR - TRANSPORTES";"24.091.489/0001-12";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"R. 29 DE MAIO, 1356";"(67) 8429-2472";"";"contabilidade@zagaia.com.br";"";"";"09/03/2016";"09/03/2018";"12.077154.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";1
"A. G. SIQUEIRA  EIRELI - ME";"BONITO TRANSFER";"12.772.041/0001-85";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79290000;"MS";"Bonito";"Bonito";"RUA PAULO VI, 195";"(67) 3255-2581";"";"aroldogarahi@hotmail.com";"";"";"01/03/2016";"01/03/2018";"12.040712.85.0001-7";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";5
"A. V. RODRIGUES - ME";"MEGA LOCADORA";"18.682.374/0001-08";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78048904;"MT";"Cuiabá";"Ribeirão do Lipa";"AV DOS FLORAIS, 875";"(65) 3028-7798";"";"megalocadora@hotmail.com";"";"";"09/11/2015";"09/11/2017";"13.074850.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"A.B.S. - TRANSPORTES E TURISMO LTDA-EPP";"A B S TURISMO";"02.355.633/0001-48";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";51200130;"PE";"Recife";"Imbiribeira";"R.DR. TAVARES CORREIA Nº77 SL 01";"(81) 3339-7016";"";"marcelodalocadora@hotmail.com";"";"";"03/03/2016";"03/03/2018";"16.077017.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";80
"A2V EMPREENDIMENTOS LTDA";"A2V  EMPREENDIMENTOS LTDA";"18.456.133/0001-32";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";41810012;"BA";"Salvador";"Pituba";"AV. PROFESSOR MAGALHÃES NETO, 1856 ";"(71) 3341-6184";"";"a2vlocadora.financeiro@gmail.com";"";"";"10/04/2015";"10/04/2017";"05.070180.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";4
"A2V EMPREENDIMENTOS LTDA";"A2V  EMPREENDIMENTOS LTDA";"18.456.133/0001-32";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";41810012;"BA";"Salvador";"Pituba";"AV. PROFESSOR MAGALHÃES NETO, 1856 ";"(71) 3341-6184";"";"a2vlocadora.financeiro@gmail.com";"";"";"10/04/2015";"10/04/2017";"05.070180.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";7
"A2V EMPREENDIMENTOS LTDA";"A2V  EMPREENDIMENTOS LTDA";"18.456.133/0001-32";"Empresa Individual (EIRELI)";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";41810012;"BA";"Salvador";"Pituba";"AV. PROFESSOR MAGALHÃES NETO, 1856 ";"(71) 3341-6184";"";"a2vlocadora.financeiro@gmail.com";"";"";"10/04/2015";"10/04/2017";"05.070180.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Inglês,Espanhol"")";28
"A5 LOCAÇÕES LTDA";"A5 LOCAÇÕES";"10.649.059/0001-69";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";59500000;"RN";"Macau";"Macau";"R ILHA DE SANTANA,160";"(84) 99961-7490";"";"a5locacoes@hotmail.com";"";"";"18/02/2016";"18/02/2018";"20.076706.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";9
"AAVA SOLUÇÕES E TRANSPORTE LTDA-ME";"AAVA";"18.087.315/0001-83";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";21380380;"RJ";"Rio de Janeiro";"Quintino Bocaiúva";"RUA OURO PRETO, 210";"(21) 7825-4820";"(21) 2632-5587";"comercial@aavatransporte.com.br";"administrativo@aavatransporte.com.br";"";"11/06/2015";"11/06/2017";"19.055803.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 7711-0/00-LOCADORA DE AUTOS (Secundário), 7711-0/00-LOCADORA DE CARROS (Secundário)";"(""Francês,Inglês,Espanhol,Alemão,Italiano,Japonês"")";3
"ABIETAR LOCAÇÃO DE VEICULOS LTDA - ME";"ABIETAR LOCAÇÃO DE VANS";"07.529.848/0002-32";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";79331010;"MS";"Corumbá";"Dom Bosco";"R. MAJOR GAMA, 799";"(67) 3232-0178";"(67) 9230-4013";"abietar.abietar@gmail.com";"";"";"14/08/2015";"14/08/2017";"12.072815.85.0002-1";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Espanhol)";1
"ABOLIÇÃO RENT A CAR LTDA - ME";"*****************************************";"23.735.301/0001-69";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";60165080;"CE";"Fortaleza";"Meireles";"AV. ABOLIÇÃO, 2456-A";"(88) 3242-1224";"";"evandarodrigues@yahoo.com.br";"";"";"13/08/2015";"13/08/2017";"06.056120.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Inglês)";12
"ABRAV CONSTRUÇÕES SERVIÇOS EVENTOS E LOCAÇÕES LTDA - EPP";"ABRAV CONSTRUÇÕES SERVIÇOS EVENTOS E LOCAÇÕES";"12.044.788/0001-17";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";63610000;"CE";"Mombaça";"Mombaça";"RUA JAIME BENEVIDES, 355 - CENTRO";"(88) 3583-1077";"(88) 3583-1077";"abravservice@hotmail.com.br";"";"";"09/06/2014";"09/06/2016";"06.063997.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE FEIRAS E EXPOSIÇÕES; SERVIÇOS DE (Secundário), 7739-0/03-PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORO; LEASING  OPERACIONAL. (Secundário)";"(Inglês)";1
"ACB LOCADORA DE VEÍCULOS LTDA";"MANAUTO RENT A CAR";"09.262.747/0001-92";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";69020090;"AM";"Manaus";"Praça 14 de Janeiro";"AV. TEFÉ Nº335";"(92) 3231-1463";"(92) 3622-1603";"alessandro_bergamasco@hotmail.com";"";"";"18/09/2014";"18/09/2016";"03.066313.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";1
"ACB LOCADORA DE VEÍCULOS LTDA";"MANAUTO RENT A CAR";"09.262.747/0001-92";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";69020090;"AM";"Manaus";"Praça 14 de Janeiro";"AV. TEFÉ Nº335";"(92) 3231-1463";"(92) 3622-1603";"alessandro_bergamasco@hotmail.com";"";"";"18/09/2014";"18/09/2016";"03.066313.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"ACB LOCADORA DE VEÍCULOS LTDA";"MANAUTO RENT A CAR";"09.262.747/0001-92";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";69020090;"AM";"Manaus";"Praça 14 de Janeiro";"AV. TEFÉ Nº335";"(92) 3231-1463";"(92) 3622-1603";"alessandro_bergamasco@hotmail.com";"";"";"18/09/2014";"18/09/2016";"03.066313.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";10
"ACB LOCADORA DE VEÍCULOS LTDA";"MANAUTO RENT A CAR";"09.262.747/0001-92";"Sociedade Simples";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";69020090;"AM";"Manaus";"Praça 14 de Janeiro";"AV. TEFÉ Nº335";"(92) 3231-1463";"(92) 3622-1603";"alessandro_bergamasco@hotmail.com";"";"";"18/09/2014";"18/09/2016";"03.066313.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";30
"ACESSIVEL LOCADORA EXECUTIVE LTDA - ME";"ACESSIVEL LOCADORA";"04.472.383/0001-51";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";9360620;"SP";"Mauá";"Jardim Anchieta";"R DIRCEU DE SOUZA, 68 A";"(11) 4513-2907";"";"contato@vanuniversitaria.com.br";"";"";"12/08/2015";"12/08/2017";"26.072752.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";"(""Nenhuma das Opções"")";2
"ACHEI AUTOMÓVEIS LTDA-ME";"ACHEI VEÍCULOS";"07.194.751/0001-35";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";74140020;"GO";"Goiânia";"Setor Oeste";"AV PORTUGAL N 445";"(62) 3945-0007";"(62) 3215-8060";"achei.mario@gmail.com";"wrrcontabil01@hotmail.com";"www.grupoachei.com.br";"11/06/2014";"11/06/2016";"09.064100.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"("""")";6
"ACM HABIB DE ARAÚJO-ME";"CAROL LOCADORA";"10.919.673/0001-01";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";29129703;"ES";"Vila Velha";"Morada de Interlagos";"RUA MARINGÁ 05, QD K , ";"(27) 3242-3488";"(27) 99725-4565";"contato@carollocadora.com.br";"";"www.carollkocadora.com.br";"14/10/2015";"14/10/2017";"08.074267.85.0001-7";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS, EXCETO CULTURAIS E ESPORTIVOS, SERVIÇOS DE (Secundário), 7711-0/00-LOCADORA DE AUTOS (Secundário), 7711-0/00-LOCADORA DE CARROS (Secundário), 8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Secundário)";"(Inglês)";1
"ADANS H S TRANSPORTES LTDA - ME";"A M H TRANSPORTES";"22.336.767/0001-29";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";12091320;"SP";"Taubaté";"Jardim Bela Vista";"RUA PEDRO PEREIRA BARROS, 85 - CJ ANEXO";"(12) 3426-0718";"";"adans.machado@bol.com.br";"empass.taubate@hotmail.com";"";"09/10/2015";"09/10/2017";"26.074197.85.0001-9";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-ALUGUEL DE AUTOMÓVEIS COM CONDUTOR, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Secundário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário), 4929-9/4-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 4929-9/03-ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL  (Secundário)";"(""Inglês,Espanhol"")";3
"ADARDARA LOCAÇÃO DE VEICULOS, MAQUINAS E EQUIPAMENTOS AGRICOLAS E TERRAPLENAGEM LTDA";"ADARDARA LOCAÇÃO DE VEICULOS, MAQUINAS E EQUIPAMENTOS AGRICOLAS E TERRAPLENAGEM";"10.513.013/0001-18";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";12280099;"SP";"Caçapava";"Jardim São José";"RUA AFONSO HENRIQUE, N°: 80";"(12) 3652-9156";"";"adardara@ig.com.br";"";"";"21/11/2014";"21/11/2016";"26.065423.85.0001-2";"7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(Inglês)";2
"ADEMIR DA SILVA SIMÕES ME";"ADEMIR DA SILVA SIMÕES ME";"10.213.781/0001-56";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";16900627;"SP";"Andradina";"Conjunto Habitacional Álvaro Gasparelli II";"RUA GALLERANO SANITA, 475";"(18) 3722-8160";"";"ademir.simoes@uol.com.br";"";"";"17/09/2014";"17/09/2016";"26.050214.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";"(""Nenhuma das Opções"")";2
"ADR LOCADORA DE VANS LTDA - ME";"ADR LOCADORA DE VANS LTDA - ME";"11.501.231/0001-03";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";4317180;"SP";"São Paulo";"Vila Guarani(Zona Sul)";"AV. LINO DE ALMEIDA PIRES, 95";"(11) 2297-3401";"(11) 2956-9185";"adrlocadoradevans@ig.com.br";"";"";"10/03/2016";"10/03/2018";"26.062121.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(Espanhol)";5
"ADRIANA GOUVEIA TEIXEIRA CALADO - LOCADORA - ME";"ADRIANA GOUVEIA TEIXEIRA CALADO - LOCADORA - ME";"10.468.732/0001-64";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";16403266;"SP";"Lins";"Jardim Guanabara";"AVENIDA SÃO PAULO 1595";"(14) 3523-4478";"";"adrianagtcalado@hotmail.com";"";"";"22/12/2015";"22/12/2017";"26.075841.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";3
"ADRIANO MOREIRA DE PAULA";"PAPA LEGUAS RENT A CAR";"02.577.712/0001-01";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78050000;"MT";"Cuiabá";"Bosque da Saúde";"AV. HISTORIADOR RUBENS DE MENDONÇA, 1957, BOSQUE DA SAUDE";"(65) 3642-3142";"";"adriano_papacar@hotmail.com";"";"";"07/03/2016";"07/03/2018";"13.077117.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";2
"ADRIANO MOREIRA DE PAULA";"PAPA LEGUAS RENT A CAR";"02.577.712/0001-01";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Locadora de Veículos";"Aluguel de Veículos";78050000;"MT";"Cuiabá";"Bosque da Saúde";"AV. HISTORIADOR RUBENS DE MENDONÇA, 1957, BOSQUE DA SAUDE";"(65) 3642-3142";"";"adriano_papacar@hotmail.com";"";"";"07/03/2016";"07/03/2018";"13.077117.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";"(""Nenhuma das Opções"")";30
