"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"A MODA DA CASA PIZZARIA LTDA - EPP";"A MODA DA CASA PIZZARIA";"05.683.518/0001-90";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";74823410;"GO";"Goiânia";"Setor Bela Vista";"RUA S-07 Nº 739 QD. S-28 LT. 05/06 SETOR BELA VISTA";"(62) 3275-7575";"";"hbrito2107@gmail.com";"";"";"25/08/2015";"25/08/2017";"09.073024.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(Espanhol)"
"A PALU JUNIOR";"JB GRILL";"06.232.670/0001-10";"Sociedade Empresária";"02/05/2004";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69901180;"AC";"Rio Branco";"Seis de Agosto";"VIA CHICO MENDES  528";"(06) 3028-1998";"(06) 9925-1388";"ari.palu@gmail.com";"";"WWW.JBGRILL.COM.BR";"17/06/2015";"17/06/2017";"01.036209.15.0001-8";"8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Primário), 5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";150;"(Espanhol)"
"A R KAFER - ME";"RESTAURANTE DO GAUCHO";"14.649.063/0001-88";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";65590000;"MA";"Barreirinhas";"Barreirinhas";"AV BRASILIA, Nº 06 - CENTRO";"(98) 99966-5597";"";"douglaskafer97@gmail.com";"";"";"15/09/2015";"15/09/2017";"10.073472.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";180;"(Alemão)"
"A W DE OLIVEIRA - ME";"LAGO DO ROBERTINHO";"23.724.517/0001-29";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69301970;"RR";"Boa Vista";"Centro";"ESTRADA P.A. NOVA AMAZONIA, VISCINAL 7, NR 31";"(95) 99151-2724";"";"futureassessoria@live.com";"";"";"04/12/2015";"04/12/2017";"22.075456.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;"(""Nenhuma das Opções"")"
"A&F RESTAURANTE LTDA ME";"RESTAURANTE TANTICO";"15.589.816/0001-70";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69932000;"AC";"Brasiléia";"Brasiléia";"AV.DRºMANUEL MARINHO MONTE-1217-ELDORADO";"(68) 9922-4192";"";"sentabil@bol.com.br";"";"";"06/07/2015";"06/07/2017";"01.055161.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;"(""Nenhuma das Opções"")"
"A. BRAZ DE ARAÚJO - ME";"BAR E CHURRASCARIA DO ARMADO";"04.117.529/0001-40";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69934000;"AC";"Epitaciolândia";"Epitaciolândia";"AV. SANTOS DUMONT, Nº 46 - CENTRO";"(68) 3546-5032";"";"daniregiane@hotmail.com";"";"";"06/07/2015";"06/07/2017";"01.055111.15.0001-3";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";150;"(""Nenhuma das Opções"")"
"A. DA S. CUNHA-ME";"RESTAURANTE CARNE DE SOL NOSSO NORDESTE";"10.630.823/0001-54";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";68740530;"PA";"Castanhal";"Apeú";"RUA ALZIRA MARTINS, 299.";"(91) 3725-1518";"";"denasmaciel@hotmail.com";"";"";"23/06/2015";"23/06/2017";"14.071678.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;"(""Nenhuma das Opções"")"
"A. GALVANI & GALVANI LTDA - ME";"TOKA DO AÇAÍ";"09.599.645/0001-67";"Sociedade Empresária";"25/08/2006";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78740200;"MT";"Rondonópolis";"Vila Aurora";"AV. DOM PEDRO II, 1046";"(66) 3422-7647";"";"monebaetz@hotmail.com";"";"";"14/09/2015";"14/09/2017";"13.041804.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";50;"(""Inglês,Espanhol"")"
"A. GUILHERME IMP & EXP - ME";"RESTAURANTE ARENA DO APETITE";"15.338.675/0001-12";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69934000;"AC";"Epitaciolândia";"Epitaciolândia";"AV. SANTOS DUMONT, 679 - CENTRO";"(68) 3546-4873";"";"aristondm2010@gmail.com";"";"";"22/08/2016";"22/08/2018";"01.065683.15.0001-3";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";40;"(""Nenhuma das Opções"")"
"A. RIBEIRO & SOUZA LTDA - ME";"HAMBURGUERIA GRILL BURGER";"19.244.867/0001-10";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";68600000;"PA";"Bragança";"Bragança";"AV. NAZEAZENO FERREIRA, S/N° (POSTO BOM JESUS, LOJA 08 E 09)";"(91) 3425-5093";"(91) 98101-7174";"adalbertoribeirogerh@gmail.com";"";"";"01/10/2015";"01/10/2017";"14.073961.15.0001-3";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";72;"(Inglês)"
"A.B BENETTI & CIA LTDA-ME";"COSTELARIA FOGO NA BRASA";"02.591.246/0001-00";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";74672685;"GO";"Goiânia";"Santa Genoveva";"AV SUCURI 2027 QD: 131 LT:73 BAIRRO SANTA GENOVEVA ";"(62) 3092-7852";"";"damatacontabilidade@gmail.com";"";"";"07/01/2016";"07/01/2018";"09.076009.15.0001-6";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;"(Espanhol)"
"A.C.DE SOUZA GONÇAVES";"CHURRASCARIA E RESTAURANTE RODEIO";"12.905.586/0001-12";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73850000;"GO";"Cristalina";"Cristalina";"RUA:7 DE SETEMBRO N°1237 QD.30 LOTE 25";"(61) 3612-1102";"";"churrascaria.rodeio@hotmail.com";"";"";"21/10/2015";"21/10/2017";"09.051920.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";55;"(""Nenhuma das Opções"")"
"A.C.SAMPAIO";"NUNES BAR";"05.584.167/0001-60";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69940000;"AC";"Sena Madureira";"Sena Madureira";"ESTRADA XIBUREMA-1061-TRIANGULO";"(68) 9971-1933";"";"nunesedete@hotmail.com";"";"";"02/06/2015";"02/06/2017";"01.053130.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";60;"(""Nenhuma das Opções"")"
"A.F.DE SOUZA";"RESTAURANTE LIDER";"14.362.875/0001-48";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69960000;"AC";"Feijó";"Feijó";"AV:MARECHAL DEODORO,923,CENTRO";"(68) 3463-2471";"(68) 8111-2123";"lider_fj@hotmial.com";"";"";"29/08/2014";"29/08/2016";"01.049481.15.0001-9";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";45;"(""Nenhuma das Opções"")"
"A.M. NOGUEIRA RESTAURANTE";"A.M. NOGUEIRA RESTAURANTE ";"05.387.096/0001-06";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";14020039;"SP";"Ribeirão Preto";"Vila Seixas";"AV NOVE DE JULHO, 1959";"(16) 3610-6873";"(16) 3610-6873";"adriano@restauranteclassea.com.br";"";"";"21/07/2014";"21/07/2016";"26.064925.15.0001-2";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";240;"(""Inglês,Espanhol"")"
"A.M.DE BONI -ME";"RESTAURANTE E HOTEL SÃO JOSÉ";"04.095.843/0001-70";"Empresário Individual (Não MEI)";"02/10/2009";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69922000;"AC";"Capixaba";"Capixaba";"AV:GOVERNADOR EDMUNDO PINTO-201-A CENTRO";"(68) 8424-6517";"(68) 8421-4599";"ingridacre2010@hotmail.com";"";"";"16/12/2015";"16/12/2017";"01.059943.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL COM OU SEM SERVIÇO DE RESTAURANTE (Secundário)";20;"(""Nenhuma das Opções"")"
"A.NUNES CARDOSZO-ME";"HOTEL E RESTAURANTE CAPIXABA";"07.477.046/0001-45";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69922000;"AC";"Capixaba";"Capixaba";"AV.GOVERNADOR EDMUNDO PINTO-971-CENTRO";"(68) 3234-1150";"(68) 8411-3378";"aurelianofcardoso@gmail.com";"";"";"16/12/2015";"16/12/2017";"01.059831.15.0001-2";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;"("""")"
"A.S DE OLIVEIRA - ME";"RESTAURANTE PARAENCE";"14.329.809/0001-76";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69950000;"AC";"Manoel Urbano";"Manoel Urbano";"AV.VALERIO CALDAS MAGALHÃES,S/Nº.CENTRO";"(68) 9911-6795";"";"estelasouza2011@hotmail.com";"";"";"30/04/2015";"30/04/2017";"01.053181.15.0001-9";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";50;"(""Nenhuma das Opções"")"
"A.T.L INDUSTRIA,COMERCIO E SERVIÇOS LTDA-EPP";"DOM NATO CASA DE PAES";"09.442.461/0001-99";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";67020000;"PA";"Ananindeua";"Águas Lindas";"BR 316, S/Nº KM 6,5 LOJA 1";"(91) 3255-6169";"";"acirema.castro@globo.com";"";"";"25/03/2015";"25/03/2017";"14.069818.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";70;"("""")"
"A.TEIXEIRA COMERCIO - ME";"PORÃO DOCES E SALGADOS";"10.669.332/0001-17";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78740375;"MT";"Rondonópolis";"Jardim Mato Grosso";"RUA OTAVIO PITALUGA, 300";"(66) 3422-6142";"(66) 3424-2254";"poraosalgados@hotmail.com";"";"";"28/04/2015";"28/04/2017";"13.070482.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";10;"(""Nenhuma das Opções"")"
"AA EMPREEENDIMENTOS HOTEIS E EVENTOS LTDA ME";"POUSADA RIBEIRAO DO BOI";"15.275.199/0001-38";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";39205000;"MG";"Três Marias";"Três Marias";"SITIO RIBEIRÃO DO BOI S/N";"(38) 3754-1998";"(38) 3754-1998";"contatos@pousadribeiraodoboi.com.br";"wanderlucioamaral@hotmail.com";"www.pousadaribeiraodoboi.com.br";"08/10/2014";"08/10/2016";"11.048302.15.0001-6";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";65;"("""")"
"AAJ RESTAURANTE 157DF LTDA -ME";"****";"24.341.559/0001-43";"Sociedade Empresária";"";"Microempresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";71909720;"DF";"Taguatinga";"Norte (Águas Claras)";"R 13 NORTE LOTE 01 E 03, RUA 14 NORTE LOTE 02 E 04 ";"(61) 9255-5423";"";"contato@volpe.com";"";"";"19/04/2016";"19/04/2018";"07.078055.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;"(Inglês)"
"ABDUL AHAD SAAD EMPORIO LTDA - ME";"ABDUL AHAD SAAD EMPORIO LTDA - ME";"19.287.700/0001-37";"Sociedade Empresária";"";"Microempresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";79020260;"MS";"Campo Grande";"Centro";"R. GENERAL ODORICO QUADROS, 629";"(67) 3042-8888";"";"elianemsdd@gmail.com";"";"";"04/03/2016";"04/03/2018";"12.077068.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";100;"(""Inglês,Espanhol,Hebraico"")"
"ABEL CISCON FONSECA 48225215168";"";"11.914.332/0001-06";"Microempreendedor Individual (MEI)";"13/04/2007";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78460000;"MT";"Nobres";"Nobres";"RUA JÕAO DE ANDRADE, S/N, RODA D´AGUA";"(65) 9306-7327";"";"mony-vital@hotmail.com";"";"";"13/08/2015";"13/08/2017";"13.053827.15.0001-7";"5611-2/01-ALIMENTAÇÃO COM SERVIÇO COMPLETO; SERVIÇO DE (Secundário)";100;"(""Nenhuma das Opções"")"
"ABINADABE DA SILVA - ME";"GRATITUDE CAFETERIA";"22.727.170/0001-05";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";11680000;"SP";"Ubatuba";"Ubatuba";"R SATURNO, 117 - LOJA 06";"(12) 3833-6808";"";"abinadabeds@gmail.com";"";"";"09/03/2016";"09/03/2018";"26.077160.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";30;"(""Inglês,Espanhol"")"
"AÇAI DO MATO COMERCIO E PRODUTOS ALIMENTICIOS EIRELI - ME";"AÇAI DO MATO";"10.671.775/0001-42";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78045175;"MT";"Cuiabá";"Bosque";"AV PRESIDENTE MARQUES, N° 695";"(65) 3052-2900";"(65) 3358-6702";"marcosvital@hotmail.com";"";"";"03/06/2016";"03/06/2018";"13.078945.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"(Inglês)"
"AÇAI ZERO GRAU EIRELI - ME";"AÇAI ZERO GRAU";"22.104.342/0001-94";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Implantação";"Restaurantes, Cafeterias e Bares";"Restaurante";71572302;"DF";"Paranoá";"Paranoá";"AV. QD. 23 CONJ. B LOTE 30 LOJA 01/02 SUBSOLO";"(61) 9287-5602";"";"acai0grau@gmail.com";"";"";"21/08/2015";"21/08/2017";"07.072980.15.0001-9";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";50;"(""Nenhuma das Opções"")"
"ADAILDO MONTEIRO ALVES - ME";"ONDA DO MAR";"07.326.369/0001-38";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";62400000;"CE";"Camocim";"Camocim";"RUA JOSÉ DE ALENCAR, 16 - CENTRO";"(88) 3621-0889";"";"adaondadomar@gmail.com";"";"";"19/04/2016";"19/04/2018";"06.063460.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";200;"(""Nenhuma das Opções"")"
"ADAIR BURIN - ME";"RESTARANTE BURIN";"89.846.489/0001-20";"Sociedade Simples";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";98590000;"RS";"Santo Augusto";"Santo Augusto";"ROD RS155 KM 70";"(55) 9200-3557";"";"rosaniburin@hotmail.com";"";"";"15/12/2015";"15/12/2017";"23.075663.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;"("""")"
"ADALGISA FERREIRA CLEMENTINO";"RESTAURANTE DO QUIXADÁ";"14.353.923/0001-31";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69901516;"AC";"Rio Branco";"São Francisco";"ESTRADA DO QUIXADÁ,KM.20-SÃO FRANCISCO";"(68) 9204-4638";"";"lulu.marcia@hotmail.com";"";"";"22/03/2016";"22/03/2018";"01.062165.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";84;"(""Nenhuma das Opções"")"
"ADÃO GONÇALVES DE BASTOS FILHO 00067011160";"CACHOEIRAS BAR";"24.249.509/0001-30";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";72980000;"GO";"Pirenópolis";"Pirenópolis";"FAZENDA CANTENDAS BR 070 A ESQUERDA 05 KM SN ZONA RURAL";"(62) 9926-9670";"";"turismo@pirenopolis.go.gov.br";"";"";"15/03/2016";"15/03/2018";"09.077260.15.0001-4";"5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";100;"(""Nenhuma das Opções"")"
"ADEGA MARIANO - EIRELI - ME";"ADEGA MARIANO";"17.336.687/0001-33";"Empresa Individual (EIRELI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";83606176;"PR";"Campo Largo";"Loteamento São Gerônimo";"RUA JORGE DEMÉTRIO PAULISTA, 172";"(41) 3292-1924";"";"adilson_paivamariano@yahoo.com";"";"";"19/09/2014";"19/09/2016";"18.066341.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5620-1/02-SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ (Secundário)";120;"(""Nenhuma das Opções"")"
"ADEMIR COSTA -ME";"SABOR GOIANO";"20.390.405/0001-90";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";75940000;"GO";"Edéia";"Edéia";"AV CONTORNO SN Q K LT 06 VILA SANTANA";"(64) 9902-0240";"";"cadastro@suporte.cnt.br";"";"";"28/07/2014";"28/07/2016";"09.065102.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";30;"(""Nenhuma das Opções"")"
"ADILSON ALVES DE SOUSA - ME";"RESTAURANTE BOQUEIRÃO";"32.396.293/0001-64";"Sociedade Empresária";"22/01/1991";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29208030;"ES";"Guarapari";"Balneário de Meaípe";"RUA BELO HORIZONTE, 71";"(27) 3272-1308";"";"edgardmeaipe@oi.com.br";"";"";"14/11/2014";"14/11/2016";"08.037782.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";94;"(""Nenhuma das Opções"")"
"ADRIANA DA ROCHA SHAK ME";"ESPAÇO TIBET";"08.294.013/0001-22";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95660000;"RS";"Três Coroas";"Três Coroas";"RUA ALAGOAS, 361 - BAIRRO AGUAS BRANCAS";"(51) 3546-5763";"";"espacotibet@espacotibet.com.br";"";"www.espacotibet.com.br";"23/12/2015";"23/12/2017";"23.075850.15.0001-2";"5611-2/01-ROTISSERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";60;"(Inglês)"
