"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"LINGUAS";"QUANTIDADE"
JM LOCADORA DE VEICULOS LTDA EPP;JM LOCADORA DE VEICULOS;"63.597.736/0001-09";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;69.903.420;AC;Rio Branco;Aeroporto Velho;RUA GOVERNADOR ARTHUR REIS, Nº 82 - FLORESTA ;(68) 3227-2320;(68) 3226-5377;jmlocadora@brturbo.com.br;;;"01.051121.85.0001-9";"7711-0/00-LOCADORA DE CARROS (Primário)";Nenhuma das Opções;0
M DE F TAVARES LOCADORA DE VEICULOS-ME;PRATURLOC;"13.516.825/0001-05";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;25.850.000;RJ;Paraíba do Sul;Paraíba do Sul;RUA JOSE GONÇALVES, 79 A SOBRADO;(24) 2263-3139;;praturioc.turismo@yahoo.com.br;;;"19.045653.85.0001-0";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
V.J.R LOCADORA DE VEICULOS LTDA;V.J.R LOCADORA DE VEICULOS LTDA;"08.866.617/0001-04";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;13.348.655;SP;Indaiatuba;Lauro Bueno de Camargo;R COMPOSITOR EDWINO BANNWART, 221 - PAV.SUP;(19) 8103-1452;;irineuboffo@terra.com.br;;;"26.080592.85.0001-0";"4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
RIO MARAVILHA AG.DE VIAG.E TUR.E LOC.VEIC.LTDA-ME;RIO MARAVILHA LOCACAO E TURISMO;"17.820.467/0001-80";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.251.540;RJ;Rio de Janeiro;Santa Teresa;RUA PARAISO, 67;(21) 8178-1414;;ascconsultoria@hotmail.com;;;"19.054657.85.0001-8";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ASTECA ASSESSORIA TÉCNICA ADMINISTRATIVA LTDA - ME;ASTECA;"10.609.244/0001-20";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.135.100;CE;Fortaleza;Joaquim Távora;AV. ANTÔNIO SALES, 1317, SALA 101;(85) 3246-2796;(85) 3246-2796;blesserm@gmail.com;;;"06.076158.85.0001-8";"7711-0/00-LOCADORA DE CARROS (Secundário)";;0
ELBER GONCALVES CANOS - ME;RE TRANSPORTES;"23.843.845/0001-44";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;R. PERCIO SHAMANN, 242;(67) 3255-4051;;elbercanos@hotmail.com;;;"12.075982.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
SPEED LINE LOCADORA DE VEICULOS LTDA ME;SPEED LINE;"07.727.295/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;2.756.010;SP;São Paulo;Jardim Primavera;RUA MINA FICHMAN, 57;(11) 3932-2175;(11) 7726-9888;tiobarca@hotmail.com;;www.speedlinelocadora.com.br;"26.076799.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
RLGC SERVIÇOS LTDA;LOCALIZA RENT A CAR;"21.610.050/0001-60";Sociedade Simples;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;35.701.482;MG;Sete Lagoas;Dante Lanza;AV. CEL. ALTINO FRANCA, 360;(31) 3772-2866;(31) 3772-0830;lisley.soares@sistemalocaliza.com;;;"11.082031.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
ALUGMAQ - MAQUINAS & EMPREENDIMENTOS EIRELI -  EPP;ALUGMAQ MAQUINAS & EMPREENDIMENTOS;"23.194.252/0001-02";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;55.320.000;PE;Lagoa do Ouro;Lagoa do Ouro;RUA ANANIAS ALVES COSTA, N° 576 A CENTRO;(87) 99635-9327;;alecyo_gomes@hotmail.com;;;"16.076414.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
A. G. SIQUEIRA  EIRELI - ME;BONITO TRANSFER;"12.772.041/0001-85";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;RUA PAULO VI, 195;(67) 3255-2581;;aroldogarahi@hotmail.com;;;"12.040712.85.0001-7";"4929-9/01-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
MILTON SILVEIRA - ME;MILTON SILVEIRA ;"12.991.749/0001-27";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;RUA LUIS DA COSTA LEITE, 1334 - CENTRO;(67) 9677-3288;(67) 3255-3120;escrita@asteccontabil.com;;;"12.063736.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
JOSENILTON BISPO DOS SANTOS JUNIOR ME;EDUARDO & JUNIOR LOCADORA;"11.367.485/0001-72";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;49.170.000;SE;Laranjeiras;Laranjeiras;RUA H, Nº 125, CONJUNTO MANOEL DO PRADO FRANCO;(79) 3281-2997;;bispo.jjunior@gmail.com;;;"25.045490.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Inglês;0
LOCADORA GLOBAL LTDA ME;LOCADORA GLOBAL;"17.389.329/0001-99";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;11.600.000;SP;São Sebastião;São Sebastião;"AV DR ARMANDO SALES DE OLIVEIRA; N°307-SALA 01";(12) 3892-5333;(12) 3892-2245;ovs@uol.com.br;;www.locadoraglobal.com.br;"26.077664.85.0001-9";"7711-0/00-LOCADORA DE CARROS (Primário)";Espanhol ,Inglês;0
J. TUR LOCADORA E TRANSPORTES TURISTICA LTDA - ME;J. TUR LOCADORA E TRANSPORTES TURISTICA;"13.841.698/0001-10";Sociedade Empresária;"10/10/2005";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;21.921.080;RJ;Rio de Janeiro;Tauá;RUA LIVRAMENTO, N° 39;(21) 2467-2379;;jay.da@bol.com.br;;www.pallottitour.com;"19.075322.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
DELTA AUTOMOTORES LTDA ME;DELTA;"05.080.045/0001-37";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;29.106.570;ES;Vila Velha;Cristóvão Colombo;RUA SANTA TEREZINHA, 855;(27) 3219-9950;(27) 3229-1625;deltavv@uol.com.br;;;"08.051196.85.0001-2";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
BONVENON LOCADORA TRANSPORTE E TURISMO LTDA - ME;BONVENON LOCADORA;"23.083.885/0001-35";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;21.050.144;RJ;Rio de Janeiro;Bonsucesso;AV. DOS DEMOCRATICOS, N° 870 - APT 101 CAS XXXI;(21) 97840-5521;;ascoonsultoria@gmail.com;;;"19.074662.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
COMÉRCIAL SOUZA E SILVA VEÍCULOS E LOCAÇÃO LTDA;COMERCIAL SOUZA E SILVA VEÍCULOS E LOCAÇÃO;"08.265.680/0001-87";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;33.805.600;MG;Ribeirão das Neves;Centro;RUA LAURO SODRE NOGUEIRA,293 - LJ:05;(31) 3634-4785;;souzaesilvacomercial@yahoo.com.br;;;"11.083138.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
R H P EMPREENDIMENTOS E SERVIÇOS LTDA;R H P LOCADORA DE VEÍCULOS;"00.769.961/0001-65";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.170.173;CE;Fortaleza;Dionisio Torres;AV. DESEMBARGADOR MOREIRA, 3059;(85) 4011-5777;(85) 4011-5785;comercial@rhplocadora.com.br;;www.rhplocadora.com.br;"06.056825.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Nenhuma das Opções;0
I N GOMES - ME;NOVO LOCAÇÃO;"16.526.620/0001-07";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.507.000;RN;Alto do Rodrigues;Alto do Rodrigues;R SADOCK ALBUQUERQUE, 71;(84) 99901-8592;;padilhanabeau@hotmail.com;;;"20.080683.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";;0
RENATO OLAS DE FIGUEIREDO - ME;AVANT'S PARK;"14.056.946/0001-84";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;4.292.110;SP;São Paulo;Saúde;R EUGENIO FALK, N°: 709;(11) 5611-7086;;renatofigueiredo2011@live.com;;;"26.070551.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
MCM LOCADORA DE TRANSPORTES TERRESTRES LTDA;MCM LOCADORA;"22.168.182/0001-47";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.921.004;RJ;Rio de Janeiro;São Cristóvão;RUA SÃO JANUÁRIO, 667 CASA;(21) 96448-2364;;mcmoreira@mcmoreira.com;;;"19.070696.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4923-0/02-SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA (Secundário)";Espanhol ,Francês ,Inglês;0
SIQUEIRA E AZEREDO COMUNICAÇÃO E ENTRETENIMENTO LTDA;A7 TURISMO SERRA DA MESA;"09.063.846/0001-45";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;76.450.000;GO;Minaçu;Minaçu;AVENIDA REAL GRANDEZA  Nº 19 VILA DE FURNAS;(62) 8405-5209;;mr.leomachado@gmail.com;rmadone@gmail.com;;"09.057644.85.0001-2";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 9319-1/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS; SERVIÇOS DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Nenhuma das Opções;0
TRAP TRANSPORTE & LOCAÇÃO EIRELI;TRAP TRANSPORTE & LOCAÇÃO;"15.169.633/0001-03";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;59.144.150;RN;Parnamirim;NOVA ESPERANÇA;RUA TUCUMÂ, 116;(84) 99969-5651;;altamir.trap@yahoo.com.br;;;"20.057465.85.0001-7";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
GRAFLOG - SERVIÇOS GRAFICOS E DISTRIBUIÇAO LTDA EPP;GRAFLOG;"13.923.105/0001-64";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;70.610.410;DF;Brasília;Zona Industrial;ST INDUSTRIAS GRAFICAS QUADRA 01 LOTE 635 GALPAO AUXILIAR;(61) 3363-3809;(61) 3363-3809;luciana@connectalocadora.com.br;;;"07.069215.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";;0
EXTREMOSUL RENT A CAR EIRELI - ME;EXTREMO SUL;"20.756.297/0001-27";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;90.430.001;RS;Porto Alegre;Independência;R MOSTARDEIRO 366 SALA 501;(51) 3062-8182;;lojasantana@gmrentacar.com.br;;;"23.080369.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
EQUILIBRIO SERVIÇOS LTDA;ROTACAR LOCADORA;"24.472.748/0001-55";Sociedade Empresária;"08/01/1990";Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;57.030.570;AL;Maceió;Ponta da Terra;RUA QUINTINO BACAIÚVA, 123;(82) 3223-1100;(82) 3223-1100;rotacar@rotacar.com.br;;WWW.ROTACAR.COM.BR;"02.014676.85.0001-5";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";Espanhol ,Italiano ,Inglês;0
S.R. DE QUEIROZ - ME;MAGAL TRANSPORTES;"24.240.209/0001-90";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;79.290.000;MS;Bonito;Bonito;R. NESTOR GONÇALVES, 778;(67) 9986-4085;;moreira.contabilidade@hotmail.com;;;"12.077065.85.0001-5";"7711-0/00-LOCADORA DE AUTOS (Secundário)";Nenhuma das Opções;0
TRESCINCO Z CORRETORA DE SEGUROS E LOCADORA LTDA;TRESCINCO CORRETORA DE SEGUROS LTDA;"02.511.905/0001-51";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.060.600;MT;Cuiabá;Jardim das Américas;AV. FERNANDO CORREA DA COSTA, 1263, SL 17;(65) 3615-3341;;patrik_rdias@yahoo.com.br;;;"13.070675.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
LUGVANS LOCADORA DE VEICULOS - EIRELI - ME;LUGVANS LOCADORA;"12.910.414/0001-37";Empresa Individual (EIRELI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;4.693.090;SP;São Paulo;Jardim Campo Grande;RUA FRANCISCO PIRES DE ARAUJO, 122;(11) 5562-5799;;lugvanslocadora@terra.com.br;;;"26.072761.85.0001-0";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Espanhol ,Inglês;0
INTERLAGOS LOCADORA DE VEICULOS LTDA - ME;INTERLAGOS LOCADORA DE VEICULOS LTDA - ME;"73.530.396/0001-52";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;78.015.600;MT;Cuiabá;Poção;AV. FERNANDO CORREA DA COSTA, 542;(65) 3046-8000;;horaciosouza@terra.com.br;;;"13.070061.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol ,Inglês;0
JONAS ALCANTARA DOS SANTOS - ME;J T TRANSPORTE;"19.365.976/0001-96";Empresário Individual (Não MEI);;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;37.903.066;MG;Passos;COHAB I;AV. POÇOS DE CALDAS, 68 - SALA A;(35) 9169-6004;(35) 3526-3847;julianosindcom@yahoo.com.br;;;"11.062304.85.0001-8";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário), 4929-9/02-TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS. SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL (Secundário)";Espanhol ,Inglês;0
TAURUS-LOCAÇÃO DE VEÍCULOS TODA-EPP;TAURUS-LOCAÇÃO DE VEÍCULOS;"15.895.238/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;76.870.178;RO;Ariquemes;Setor 1;AV. CANDEIAS,1872;(69) 3535-2053;;vanyabrasil@hotmail.com;;;"21.078865.85.0001-2";"7711-0/00-LOCADORA DE CARROS (Primário)";;0
TRANSTATHICA AGENCIA DE VIAGENS E TURISMO LTDA-ME;TRANSTATHICA AGENCIA DE VIAGENS E LOCADORA;"12.270.578/0001-47";Sociedade Empresária;"05/10/2010";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;22.730.000;RJ;Rio de Janeiro;Tanque;AV NELSON CARDOSO, 795 SALA 610;(21) 3017-5930;;contato@transtathica.com.br;;;"19.037236.85.0001-2";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
LOKAR LOCADORA DE VEÍCULOS LTDA - ME;LOKAR RENT A CAR;"05.601.100/0001-97";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;86.039.090;PR;Londrina;Boa Vista;AV. SANTOS DUMONT, 2039;(43) 3356-5566;;comercial@lokarlocadora.com.br;;www.lokarlocadora.com.br;"18.079948.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Inglês;0
MOITA LOCAÇAO TRANSPORTE E TURISMO LTDA ME;MOITA TURISMO;"12.395.012/0001-41";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;21.921.535;RJ;Rio de Janeiro;Cocotá;RUA MAREANTE, 85 APTO 204;(21) 2467-4462;;gilmarcoelho@live.com;;www.moitaturismo.com;"19.038561.85.0001-6";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;1
RODRIGUES & ANDRÉ COMÉRCIO DE VEÍCULOS LTDA - ME;R A AUTOMÓVEIS;"10.246.318/0001-00";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;60.810.001;CE;Fortaleza;Patriolino Ribeiro;AV. ROGACIANO LEITE, 269;(85) 3055-8585;;wtargino@hotmail.com;;;"06.079246.85.0001-6";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
CELENTUR TRANSPORTE E TURISMO LTDA;CELENTUR TRANSPORTE E TURISMO;"01.857.692/0001-51";Sociedade Empresária;"13/04/2006";Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;20.551.031;RJ;Rio de Janeiro;Vila Isabel;RUA: SILVA PINTO 84 SL 501;(21) 3217-1300;(21) 3217-4500;celso@celentur.com.br;;WWW.CELENTUR.COM.BR;"19.000138.85.0001-9";"4929-9/02-ALUGUEL DE AUTOMÓVEIS COM MOTORISTA, INTERMUNICIPAL, INTERESTADUAL, INTERNACIONAL (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
SILVA & FERNANDES LOCACAO DE VAN LTDA-ME;M P LOCACAO DE VAN;"25.091.508/0001-73";Sociedade Empresária;;Microempresa;Em Operação;Locadora de Veículos;Aluguel de Veículos;17.601.130;SP;Tupã;Centro;RUA GUAIANASES, 628;(14) 3441-6056;;centratu@hotmail.com;;;"26.082991.85.0001-3";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Secundário)";Nenhuma das Opções;0
ALCAR PRESTADORA DE SERVIÇOS LTDA - EPP;ALCAR RENT A CAR;"05.389.323/0001-32";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Locadora de Veículos;Aluguel de Veículos;5.043.010;SP;São Paulo;Água Branca;RUA CRASSO, N°:150;(11) 3202-9393;;michella_godas@hotmail.com;;www.alcarlocadora.com.br;"26.073991.85.0001-4";"7711-0/00-LOCADORA DE AUTOMÓVEIS (Primário)";Espanhol;0
