"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"DATA GERAÇÃO CERTIFICADO";"DATA VALIDADE CERTIFICADO";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"ESTRUTURA";"LINGUAS";"SERVIÇOS"
"ESFECO ADMINISTRAÇÃO LTDA";"TREM DO CORCOVADO";"29.262.672/0001-57";"Sociedade Empresária";"03/03/1885";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";22241090;"RJ";"Rio de Janeiro";"Cosme Velho";"RUA COSME VELHO, 513";"(21) 2558-1329";"(21) 2558-1329";"savioneves@corcovado.com.br";"m.e.magalhaes@corcovado.com.br";"WWW.CORCOVADO.COM.BR";"2016-06-07 15:07:04.063";"2018-06-07";"19.002386.60.0001-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";200.00;"Histórico";"(""Bar,Loja de Conveniência,Restaurante,Fraldário,Vestiário"")";"(""Inglês,Espanhol"")";"Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Ambulatório"
"ESPAÇO DAS AMÉRICAS S/A";"ESPAÇO DAS AMÉRICAS";"22.918.196/0001-30";"Serviço Social Autônomo";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";85853110;"PR";"Foz do Iguaçu";"Jardim Eldorado";"AVENIDA GENERAL MEIRA, S/N";"(45) 3572-2464";"(45) 3521-4400";"fcoutinho@catarataspni.com.br";"";"";"2016-01-13 11:55:23.301";"2018-01-13";"18.076090.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";236977.24;"Entretenimento";"(""Bar,Loja de Conveniência,Restaurante,Estacionamento Próprio,Guarda-Volumes"")";"(""Inglês,Espanhol"")";""
"FAZENDA CONFRARIA PARQUE ECOLÓGICO E ENTRETENIMENTO LTDA";"FAZENDA CONFRARIA";"11.070.239/0001-54";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";36107000;"MG";"Torreões";"Torreões";"RODOVIA MG 353 Nº 17.000 KM 114";"(21) 2557-9563";"(21) 99314-6352";"miguelgomes@clubedacultura.com";"";"";"2016-02-05 14:16:17.552";"2018-02-05";"11.076536.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9001-9/02-EVENTOS MUSICAIS; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 9001-9/03-EVENTOS DE DANÇA; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário)";700000.00;"Entretenimento";"(""Bar,Ambulatório,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes,Transporte Interno"")";"(Inglês)";""
"FERNANDO J DE ALMEIDA EVENTOS SOCIAIS ME";"RESERVA CHAKRAGRISU";"18.325.825/0001-41";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";73380000;"DF";"Planaltina";"Setor Residencial Mestre D'Armas";"RODOVIA DF 205 KM 48/49";"(61) 9975-5283";"";"fernandoalmeida.feugrisu@gmail.com";"";"www.chakragrisu.org";"2014-05-08 10:24:12.83";"2016-05-08";"07.063163.60.0001-0";"5510-8/01-SPA COM SERVIÇO DE ALOJAMENTO; SERVIÇOS DE  (Primário), 9001-9/03-EVENTOS DE DANÇA; ORGANIZAÇÃO DE, PROMOÇÃO DE (Secundário), 8230-0/02-INSTALAÇÕES PARA EVENTOS; GESTÃO DE (Secundário), 5590-6/02-CAMPING; SERVIÇO DE ALOJAMENTO (Secundário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 8550-3/02-GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA PRESTADOS AO SISTEMA E AO PROCESSO EDUCACIONAL; SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário)";700.00;"Entretenimento";"(Vestiário)";"(""Inglês,Espanhol"")";""
"FOZ TROPICANA PARQUE DE AVES LTDA";"PARQUE DAS AVES";"00.090.638/0001-60";"Sociedade Empresária";"14/06/1994";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";85853000;"PR";"Foz do Iguaçu";"Vila Yolanda";"RODOVIA DAS CATARATAS, KM 17,1 S/N";"(45) 3529-8282";"(45) 3529-8282";"mariaines@parquedasaves.com.br";"";"www.parquedasaves.com.br";"2016-06-06 15:18:58.645";"2018-06-06";"18.011860.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";165614.00;"Entretenimento";"(""Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio"")";"(""Francês,Inglês,Espanhol,Alemão,Italiano"")";"Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Estacionamento ,Fraldário"
"FREY PIERRE MARCEL JACQUES - ME";"SELVA SASSIRI";"13.153.778/0001-82";"Empresário Individual (Não MEI)";"";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";29375000;"ES";"Venda Nova do Imigrante";"Venda Nova do Imigrante";"ROD. DOS PRODUTORES S/N, KM 04";"(27) 9977-8094";"";"pmj.frey@gmail.com";"";"";"2015-05-15 09:28:03.193";"2017-05-15";"08.045928.60.0001-9";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";70000.00;"Entretenimento";"(""Bar,Restaurante,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"("""")";""
"FUNDAÇÃO PARQUE TECNOLÓGICO ITAIPU - BRASIL";"COMPLEXO TURÍSTICO ITAIPU";"07.769.688/0001-18";"Sociedade Empresária";"23/03/2006";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";85856970;"PR";"Foz do Iguaçu";"Jardim Itaipu";"AV. TANCREDO NEVES, 6731";"(45) 3520-5854";"(45) 3576-7475";"turismoitaipu@turismoitaipu.com.br";"";"www.turismoitaipu.com.br";"2015-10-06 14:28:46.024";"2017-10-06";"18.010426.60.0001-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";60001.00;"Água";"(""Bar,Ambulatório,Caixa Eletrônico,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes,Transporte Interno"")";"(""Inglês,Espanhol"")";"Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Estacionamento ,Vestiário ,Serviço Medico"
"GALPÃO ADEGA LTDA";"VALE VERDE ALAMBIQUE E PARQUE ECOLÓGICO";"07.808.932/0001-04";"Sociedade Empresária";"01/04/2006";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";32628162;"MG";"Betim";"Vianópolis";"RUA ARY BARBOSA DA SILVA 950";"(31) 3079-9171";"(31) 3079-9153";"andrea@vleverde.com.br";"";"";"2014-08-01 15:53:01.576";"2016-08-01";"11.027368.60.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";0.00;"Entretenimento";"(""Bar,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio"")";"(""Inglês,Espanhol"")";"Programas Recreativos ,Estacionamento ,Fraldário"
"HOPI HARI S/A";"HOPI HARI";"00.924.432/0001-99";"Sociedade Empresária";"16/11/1995";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";13280000;"SP";"Vinhedo";"Vinhedo";"ESTRADA MUNICIPAL VINHEDO/ITUPEVA, 7001                     ";"(19) 3836-9007";"(19) 3836-9073";"dri@hopihari.com.br";"";"www.hopihari.com.br";"2015-12-09 13:11:13.047";"2017-12-09";"26.018055.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";670001.12;"Entretenimento";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"(""Inglês,Espanhol"")";""
"J. B. WORLD ENTRETENIMENTOS S/A";"BETO CARRERO WORLD";"85.248.987/0001-10";"Sociedade Empresária";"27/03/1992";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";88385000;"SC";"Penha";"Penha";"RUA INÁCIO FRANCISCO DE SOUSA, 1597                         ";"(47) 3261-2222";"(47) 3261-2356";"marketing@betocarrero.com.br";"";"www.betocarrero.com.br";"2015-11-13 15:11:18.038";"2017-11-13";"24.043053.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";14000000.00;"Entretenimento";"(""Ambulatório,Caixa Eletrônico,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Guarda-Volumes,Transporte Interno"")";"(Espanhol)";"Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Farmácia ,Ambulatório ,Estacionamento ,Fraldário ,Serviço Medico"
"LISMAR LTDA";"GAME STATION";"10.476.588/0001-08";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";50070030;"PE";"Recife";"Boa Vista";"RUA JOSÉ ALENCAR  N ° 388";"(81) 3201-0300";"";"marcela.marques@gstation.com.br";"";"";"2016-03-08 11:09:03.018";"2018-03-08";"16.077124.60.0001-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1456.72;"Entretenimento";"(""Bar,Loja de Conveniência,Restaurante,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION";"10.476.588/0006-12";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";50070030;"PE";"Recife";"Boa Vista";"RUA JOSÉ DE ALENCAR N° 105 LOJA 201 - E    3° PAVIMENTO";"(81) 3201-0300";"";"marcela.marques@gstation.com.br";"";"";"2016-03-08 10:43:59.97";"2018-03-08";"16.077122.60.0006-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";364.40;"Entretenimento";"(""Loja de Conveniência,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION";"10.476.588/0027-47";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";51110160;"PE";"Recife";"Pina";"AVENIDA REPÚBLICA DO LIBANO N ° 251 SALÃO COMERCIAL 3003 SETOR COMERCIAL 302 PISO L3";"(81) 3201-0300";"";"marcela.maruqes@gstation.com.br";"";"";"2016-03-08 10:56:16.613";"2018-03-08";"16.077123.60.0027-6";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";2558.72;"Entretenimento";"(""Bar,Loja de Conveniência,Restaurante"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION";"10.476.588/0061-49";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";50110000;"PE";"Recife";"Santo Amaro";"AVENIDA AGAMENON MAGALHÃES N ° 153 LJ 328 , 334 , 335  2° PISO";"(81) 3201-0300";"";"marcela.marques@gstation.com.br";"";"";"2016-03-08 10:32:15.504";"2018-03-08";"16.077121.60.0061-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";646.85;"Entretenimento";"(""Loja de Conveniência,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION";"10.476.588/0065-72";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";51020280;"PE";"Recife";"Boa Viagem";"R.PADRE CARAPUCEIRO N. 777 LJ.PC-170 E PC 199";"(81) 3201-0300";"";"tomas.magalhaes@gamestation.com.br";"";"";"2016-03-08 14:55:10.125";"2018-03-08";"16.077127.60.0065-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1266.67;"Entretenimento";"(""Loja de Conveniência,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION";"10.476.588/0071-10";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";54360160;"PE";"Jaboatão dos Guararapes";"Marcos Freire";"AVENIDA BARRETO DE MENEZES N° 800   LOJA 171";"(81) 3201-0300";"";"marcela.marques@gstation.com.br";"";"";"2016-03-08 14:44:22.915";"2018-03-08";"16.077126.60.0071-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1394.00;"Entretenimento";"(""Loja de Conveniência,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"LISMAR LTDA";"GAMESTATION STATION";"10.476.588/0014-22";"Sociedade Empresária";"";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";52171200;"PE";"Recife";"Sítio dos Pintos";"RUA DR . JOÃO SANTOS FILHO N ° 255 LOJA 318 L5";"(81) 3201-0300";"";"marcela.marques@gstation.com.br";"";"";"2016-03-08 11:15:55.631";"2018-03-08";"16.077125.60.0014-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";535.97;"Entretenimento";"(""Loja de Conveniência,Estacionamento Próprio"")";"(""Nenhuma das Opções"")";""
"M A SILVA RAMOS - ME";"POUSADA COCO VERDE";"17.658.277/0001-09";"Microempreendedor Individual (MEI)";"";"Mei";"Em Operação";"Parque Temático";"Parque Temático";65909170;"MA";"Imperatriz";"COCO GRANDE";"RODOVIA BR - 010, S/N ";"(99) 3072-6850";"";"brancofdd@hotmail.com";"";"";"2014-06-09 17:50:05.9";"2016-06-09";"10.064054.60.0001-9";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";0.00;"Entretenimento";"(""Bar,Restaurante,Estacionamento Próprio,Vestiário"")";"(""Inglês,Espanhol"")";""
"MARAJÓ PARK HOTEL E TURISMO LTDA-EPP";"MARAJÓ PARK CLUB";"11.698.509/0001-76";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";68800000;"PA";"Breves";"Breves";"ESTRADA BREVES CORCOVADO, SN,KM 01";"(91) 9333-1001";"";"softline-matriz-gerencia@hotmail.com";"";"";"2015-05-08 09:25:41.915";"2017-05-08";"14.038413.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 5510-8/01-HOTEL (Secundário)";6000000.00;"Água";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"(Inglês)";""
"MARINA PARK EMPREENDIMENTOS NÁUTICOS LTDA - EPP";"MARINA PARK";"01.352.447/0001-92";"Sociedade Empresária";"03/04/1996";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";95555000;"RS";"Capão da Canoa";"Capão da Canoa";"EST 389 Nº 1000- KM 34-5";"(51) 3625-3049";"(51) 9899-8462";"construtora@marinaparkrs.com.br";"vendas.01@marinaparkrs.com.br";"www.marinaparkrs.com.br";"2016-07-18 08:37:29.753";"2018-07-18";"23.033344.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";0.00;"Água";"(Vestiário)";"(Espanhol)";""
"MIRABILANDIA PARK LTDA";"MIRABILANDIA PARK";"04.837.184/0001-08";"Sociedade Empresária";"11/01/2002";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";53110110;"PE";"Olinda";"Salgadinho";" -AV.PROFESSOR ANDRADE BEZERRA,1285                    ";"(81) 3366-2000";"";"gleide@mirabilandia.com.br";"";"www.mirabilandia.com.br";"2015-03-06 16:53:30.065";"2017-03-06";"16.034829.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";61000.00;"Entretenimento";"(""Bar,Ambulatório,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Guarda-Volumes"")";"(Inglês)";""
"ODY PARK PARQUE AQUÁTICO LTDA - ME";"ODY PARK PARQUE AQUÁTICO";"06.828.881/0001-10";"Sociedade Empresária";"19/08/2004";"Empresa de Pequeno Porte";"Em Operação";"Parque Temático";"Parque Temático";86750000;"PR";"Iguaraçu";"Iguaraçu";"RODOVIA PR 317, LOTE DE TERRAS ""1-J""  S/Nº ";"(44) 3248-8000";"(44) 3248-8025";"financeiro@odypark.com.br";"comercial@odypark.com.br";"www.odypark.com.br";"2016-05-23 10:26:28.918";"2018-05-23";"18.013441.60.0001-4";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";30000.00;"Água";"(""Loja de Conveniência,Restaurante"")";"(""Nenhuma das Opções"")";""
"PLAY ONE EMPREENDIMENTOS LTDA";"PLAY ONE EMPREENDIMENTOS LTDA";"04.933.060/0001-18";"Sociedade Empresária";"24/04/2002";"Microempresa";"Em Operação";"Parque Temático";"Parque Temático";5038120;"SP";"São Paulo";"Parque Residencial da Lapa";"RUA PROFESSOR CLEMENTE PASTORE, 52";"(11) 2244-6321";"(11) 2244-6272";"claudia.paiva@playcenter.com.br";"";"";"2015-06-30 15:23:07.608";"2017-06-30";"26.010944.60.0001-7";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Secundário)";850.43;"Entretenimento";"(""Ambulatório,Caixa Eletrônico,Loja de Conveniência,Restaurante,Fraldário,Estacionamento Próprio,Vestiário,Guarda-Volumes"")";"(Inglês)";"Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Ambulatório ,Estacionamento ,Fraldário ,Vestiário ,Serviço Medico"
"PLAYLAND ENTRETENIMENTO LTDA";"PLAYLAND";"03.384.835/0022-05";"Sociedade Empresária";"09/10/2002";"Empresa de Médio ou Grande Porte";"Em Operação";"Parque Temático";"Parque Temático";41820020;"BA";"Salvador";"Caminho das Árvores";"AV. TANCREDO NEVES, 148 SHOPP IGUATEMI";"(11) 2244-6321";"";"claudia.paiva@playcenter.com.br";"";"WWW.PLAYLAND.COM.BR";"2014-08-07 12:02:11.23";"2016-08-07";"05.010945.60.0022-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1500.00;"Entretenimento";"(""Ambulatório,Fraldário,Estacionamento Próprio"")";"(Inglês)";"Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Estacionamento"
