"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"VOLUME DE ÁGUA";"LINGUAS";"SEGMENTOS TURISTICOS";"SERVIÇOS"
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0015-13";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;88.032.005;SC;Florianópolis;Saco Grande;ROD JOSE CARLOS DAUX. 3116, LJ 213, NIVEL L2, FLORIPA SHOPPING;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"24.010945.65.0015-3";"9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Primário)";552;;0;Inglês;;
ARGONAUTA COMÉRCIO E SERVIÇOS OCEANOGRÁFICOS LTDA - EPP;ARGONAUTA COMÉRCIO E SERVIÇOS OCEANOGRÁFICOS LTDA - EPP;"00.643.743/0001-80";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;11.680.000;SP;Ubatuba;Ubatuba;AV. NOVE DE JULHO, 680;(12) 3834-1382;(12) 3834-1389;hugo@aquariodeubatuba.com.br;ea@aquariodeubatuba.com.br;www.aquariodeubatuba.com.br;"26.058146.65.0001-4";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";1.541;;0;Espanhol ,Inglês;;
FAZENDA TERRA DA MATA EVENTOS, TURISMO E LAZER LTDA - ME;FAZENDA TERRA DA MATA EVENTOS, TURISMO E LAZER LTDA - ME;"16.745.849/0001-24";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;18.120.000;SP;Mairinque;Mairinque;EST ANTONIO ALVES, N°: 249' ;(11) 4246-2158;;mario@fazendaterradamata.com.br;;www.fazendaterradamata.com.br;"26.072566.65.0001-9";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";30.000;;0;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS ;"04.933.060/0017-85";Sociedade Simples;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;90.560.003;RS;Porto Alegre;Floresta;AV. CRISTOVÃO COLOMBO N. 545/2228;(51) 3058-7780;;claudia.paiva@playcenter.com.br;;;"23.010959.65.0017-1";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";75.140;;0;Inglês;;
PLAY ONE EMPREENDIMENTOS LTDA.;PLAY ONE EMPREENDIMENTOS LTDA.;"04.933.060/0003-80";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;9.190.210;SP;Santo André;Paraíso;"AV PEREIRA BARRETO, 42 - LOJA 12;";(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;beatriz.jesus@grupoaguia.com.br;;"26.010955.65.0003-0";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";810;;0;Inglês;;
PLANET PARK DIVERSÕES LTDA - EPP;PLANET PARK;"03.456.112/0001-40";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;78.060.601;MT;Cuiabá;Jardim das Américas;AV. BRASÍLIA, 146, 2º PISO, LOJA 364, JARDIM DAS AMERICAS;(65) 3025-3252;;mauricio@planetpark.com.br;;;"13.047896.65.0001-0";"9329-8/04-EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS (Primário)";677;;0;Nenhuma das Opções;;
CENTRO DE TURISMO  SOCIAL E LAZER DE GUARAPARI;CTSLG;"05.305.785/0005-58";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;29.215.000;ES;Guarapari;Muquiçaba;RODOVIA DO SOL, N 01 ES 060;(27) 3221-1401;(27) 3221-1404;ctg-recepcao@es.sesc.com.br;;www.sesc-es.com.br;"08.029776.65.0005-0";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário), 9329-8/99-JOGO DE SNOOKER; EXPLORAÇÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";105;;0;Nenhuma das Opções;;
CHALÉ POUSADA TURISMO E LAZER LTDA;HOTEL FAZENDA  CHINA  PARK;"08.026.472/0001-25";Empresa Individual (EIRELI);"01/08/2006";Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;29.260.000;ES;Domingos Martins;Domingos Martins;ROD BR 262 KM 72;(27) 3288-4141;;vania@parquedochina.com.br;valdeir@parquedochina.com.br;WWW.PARQUEDOCHINA.COM.BR;"08.029323.65.0001-6";"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";60.000;;400;;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0007-03";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;3.314.030;SP;São Paulo;Tatuapé;RUA MELO FREIRE, S/N - PISO SUPERIOR;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010948.65.0007-5";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";741;;0;Inglês;;
DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY LTDA - EPP;DISTRIBUIDORA EXPORTADORA E IMPORTADORA HALLEY;"01.249.796/0004-26";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79.301.970;MS;Corumbá;Centro;FAZ. IRACEMA, SN, 12 KM DA ESTAÇAO DE MARIA COELHO;(67) 3231-5487;;chavesiracema@gmail.com;;;"12.075273.65.0004-4";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";20.000;;500.000;Espanhol ,Inglês;;
BEACH PARK HOTÉIS E TURISMO S/A;*****************************************;"11.805.397/0001-05";Sociedade Empresária;"22/07/1987";Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;61.700.000;CE;Aquiraz;Aquiraz;LOC PORTO DAS DUNAS, Nº 2734 ;(85) 4012-3022;;danielrodrigues@beachpark.com.br;rafaela@beachpark.com.br;www.beachpark.com.br;"06.007082.65.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";2.000;;9.999.999;Espanhol ,Italiano ,Inglês;;
PARK DIVERSÕES LTDA - EPP;PLANET PARK;"06.183.369/0002-44";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;78.050.250;MT;Cuiabá;Jardim Aclimação;AV. RUBENS DE MENDONÇA, 3300 - LOJA 302;(65) 3025-3252;(65) 3025-3252;mauricio@planetpark.com.br;;;"13.047893.65.0002-5";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";593;;0;Nenhuma das Opções;;
PINATOS COMERCIO E SERVIÇOS LTDA. ME;PINATOS HOTEL;"08.248.433/0001-72";Sociedade Empresária;"25/09/2006";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Empreendimento de Entretenimento e Lazer;73.770.000;GO;Alto Paraíso de Goiás;Alto Paraíso de Goiás;AV. ENGENHEIRO ARY RIBEIRO VALADAO FILHO 610, CENTRO;(62) 3446-1778;;pinatos.hotel@terra.com.br;advjacauna@hotmail.com;;"09.029416.65.0001-9";"5510-8/01-HOTEL (Primário), 9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";15;;30;Nenhuma das Opções;;
ÁGUAS CORRENTES SAIA VELHA LTDA - EPP;ÁGUAS CORRENTES SAIA VELHA;"01.979.230/0001-07";Sociedade Empresária;"07/05/1997";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;72.880.000;GO;Cidade Ocidental;Cidade Ocidental;FAZENDA A TOCA DO LOBO BR 040 KM 05 S/N ZONA RURAL;(61) 3627-0064;(61) 3627-0064;gloliveira@aguascorrentes.com.br;alexmeireles@aguascorrentes.com.br;www.aguascorrentes.com.br;"09.050626.65.0001-6";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";57.000;;6.000;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS;"04.933.060/0016-02";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;79.031.010;MS;Campo Grande;Santa Fé;AV. AFONSO PENA, 4909, NIVEL FURNAS, SAO COMERC 608, 2 PISO;(67) 3326-1027;(11) 2244-6321;claudia.paiva@playcenter.com.br;;;"12.010958.65.0016-4";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";72.780;;0;Inglês;;
ROMA EMPREENDIMENTOS E TURISMO LTDA.;THERMAS DIROMA HOTEL;"03.465.317/0001-91";Sociedade Empresária;"06/10/1986";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75.690.000;GO;Caldas Novas;Caldas Novas;RUA SÃO CRISTOVÃO N 1.110 BAIRRO SOLAR DE CALDAS;(64) 3455-9393;(64) 3453-1945;reservas@diroma.com.br;;www.diroma.com.br;"09.017908.65.0001-1";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";2.087;;15.000;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0011-90";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5.003.020;SP;São Paulo;Água Branca;"AV ANTARTICA, 380 -ARCO 4210; PAVMTO 3; BLOCO B;";(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010947.65.0011-2";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";482;;0;Inglês;;
BOLASHOW COMPLEXO DE ESPORTES E LAZER - EIRELI;ACQUA SHOW FAMILY PARK;"21.204.373/0001-54";Empresa Individual (EIRELI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;48.730.000;BA;Conceição do Coité;Conceição do Coité;RODOVIA COITE A SANTA ROSA, Nº 419, BAIRRO CASAS POPULARES;(75) 3262-1975;(75) 3262-1975;ramos-contabilidade@hotmail.com;;;"05.075630.65.0001-1";"9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Primário)";13.068;;500.000;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0004-60";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;2.047.050;SP;São Paulo;Vila Guilherme;TV CASALBUONO, N°: 120 ;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010953.65.0004-3";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";0;;0;Inglês;;
ASSOCIAÇÃO ATLETICA BANCO DO BRASIL;AABB;"01.823.996/0001-06";Serviço Social Autônomo;;Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;76.100.000;GO;São Luís de Montes Belos;São Luís de Montes Belos;CHACARA SANTANA SETOR RODOVIÁRIO;(64) 3671-1206;;saoluisdemontesbelos@aabnb.com.br;;;"09.071846.65.0001-1";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";48.000;;0;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0014-32";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;5.402.600;SP;São Paulo;Pinheiros;AV REBOUCAS, 3970;(11) 2244-6321;;claudia.paiva@playcenter.com.br;;;"26.010946.65.0014-7";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";1.209;;0;Inglês;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0009-75";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;3.527.000;SP;São Paulo;Vila Aricanduva;AV ARICADUVA, N°: 5555 - ARCO S ;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010952.65.0009-2";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário)";2.016;;0;Inglês;;
K.L.D EMPREENDIMENTOS TURISTICOS LTDA;BALNEÁRIO THERMAS CACHOEIRA DA FUMAÇA;"36.937.118/0002-79";Sociedade Empresária;"12/03/2004";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;78.820.000;MT;Jaciara;Jaciara;ESTRADA PARQUE CACHOEIRA DA FUMAÇA, KM 08;(66) 3461-2844;;contato@cachoeiradafumaca.com.br;;www.cachoeiradafumaca.com.br;"13.007963.65.0002-7";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Primário)";30.000;;1.000.000;Espanhol ,Inglês;;
W.PALMERSTON & TAVARES EMPREENDIMENTOS TURISTICOS LTDA;NAUTICO PRAIA CLUBE;"05.513.549/0001-01";Sociedade Empresária;"01/07/2003";Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75.690.000;GO;Caldas Novas;Caldas Novas;AV CAMINHO DO LAGO GLEBA A.1 - BAIRRO FAZ ST° ANT° DAS LAGES;(64) 3455-9100;;atendimento@nauticopraiaclube.com.br;;WWW.NAUTICOPRAIACLUBE.COM.BR;"09.057674.65.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Secundário), 5510-8/01-HOTEL (Secundário)";25.000;;150.000;Nenhuma das Opções;;
WILDERLANE DE FREITAS OLIVEIRA-ME;ARENA-JOGOS E DIVERSÃO;"22.774.331/0001-11";Empresário Individual (Não MEI);;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;58.200.000;PB;Guarabira;Guarabira;RUA OTACILIO LIRA CABRAL, 1300, BAIRRO AREIA BRANCA;(83) 99148-1020;;arnoudneto@guaraves.com.br;;;"15.073239.65.0001-7";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";198;;0;Nenhuma das Opções;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0006-22";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;4.151.100;SP;São Paulo;Bosque da Saúde;PRAÇA LEONOR KAUPA, 100 - LOJA 325 A/B - PISO INDEPENDENCIA;(11) 2244-6321;(11) 2244-6272;claudia.paiva@playcenter.com.br;;;"26.010949.65.0006-5";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";378;;0;Inglês;;
ODY PARK PARQUE AQUÁTICO LTDA - ME;ODY PARK PARQUE AQUÁTICO;"06.828.881/0001-10";Sociedade Empresária;"19/08/2004";Empresa de Pequeno Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;86.750.000;PR;Iguaraçu;Iguaraçu;"RODOVIA PR 317, LOTE DE TERRAS ""1-J""  S/Nº ";(44) 3248-8000;(44) 3248-8025;financeiro@odypark.com.br;comercial@odypark.com.br;www.odypark.com.br;"18.013442.65.0001-7";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";30.001;;3.000.001;Espanhol;;
CAMPO 7 AMIGOS AREA DE LAZER LTDA - ME;CAMPO 7 AMIGOS;"06.045.573/0001-18";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;93.950.000;RS;Dois Irmãos;Dois Irmãos;R ALBERTO RUBENICH 855;(51) 3564-1097;;dguth06@gmail.com;;;"23.077730.65.0001-4";"9329-8/99-ENTRETENIMENTO INFANTIL; PRESTAÇÃO DE SERVIÇOS DE (Secundário)";55.000;;48.000;Alemão;;
OHS PARTICIPAÇÕES E EMPREENDIMENTOS LTDA ME;SUNSET CABLE  PARK;"11.463.923/0002-87";Sociedade Empresária;;Microempresa;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;75.250.000;GO;Senador Canedo;Senador Canedo;ROD GO 020 S/N KM 16 MARGEM ESQUERDA SENTIDO GOIANIA A BELA VISTA DE GOIÁS ZONA RURAL ;(62) 3282-3888;;lucimar.oliver@gmail.com;;;"09.042909.65.0002-4";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";48.400;;0;Espanhol ,Inglês;;
PLAY ONE EMPREENDIMENTOS LTDA;PLAY ONE EMPREENDIMENTOS LTDA;"04.933.060/0018-66";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Empreendimento de Entretenimento e Lazer &  Parque Aquático;Parque Aquático;41.820.021;BA;Salvador;Caminho das Árvores;AV. TANCREDO NEVES, Nº148, QUADRA S - PAV.03;(11) 2244-6321;;claudia.paiva@playcenter.com.br;;;"05.010960.65.0018-1";"9321-2/00-PARQUE DE DIVERSÃO; EXPLORAÇÃO DE (Primário)";2.676;;0;Inglês;;
