"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"ÁREA TOTAL DO ESTABELECIMENTO";"AMBIENTAÇÃO";"LINGUAS";"SEGMENTOS TURISTICOS";"SERVIÇOS"
ROMA HOTEIS E REALIZACOES LTDA;JARDINS ACQUA PARK;"00.071.556/0007-64";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;75.690.000;GO;Caldas Novas;Caldas Novas;V CIRCULAR FRANCISCA LIMA BEZERRA,MODULO 11 SN;(64) 3456-1800;;clane.lima@lacquadiroma.com.br;;;"09.018809.60.0007-6";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";600;Entretenimento;Nenhuma das Opções;Entretenimento;
LISMAR LTDA;GAMESTATION;"10.476.588/0027-47";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;51.110.160;PE;Recife;Pina;AVENIDA REPÚBLICA DO LIBANO N ° 251 SALÃO COMERCIAL 3003 SETOR COMERCIAL 302 PISO L3;(81) 3201-0300;;marcela.maruqes@gstation.com.br;;;"16.077123.60.0027-6";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";2.558,72;Entretenimento;Nenhuma das Opções;Entretenimento;
YMA RODRIGUES EMPREENDIMENTOS EIRELI - ME;MARCO RODRIGUES EMPREENDIMENTO;"09.465.879/0001-11";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;28.540.000;RJ;Cordeiro;Cordeiro;RUA VAN ERVAN, 75, SALA 26, 2° PISO;(21) 99538-3884;;innovare.grupo@gmail.com;;;"19.079960.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 7739-0/99-ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR (Secundário), 8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS. (Secundário)";60;Cultural;Nenhuma das Opções;Cultural;
ESPAÇO DAS AMÉRICAS S/A;ESPAÇO DAS AMÉRICAS;"22.918.196/0001-30";Serviço Social Autônomo;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;85.853.110;PR;Foz do Iguaçu;Jardim Eldorado;AVENIDA GENERAL MEIRA, S/N;(45) 3572-2464;(45) 3521-4400;fcoutinho@catarataspni.com.br;;;"18.076090.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";236.977,24;Entretenimento;Espanhol ,Inglês;Entretenimento;
BEACH PARK HOTÉIS E TURISMO S/A;*****************************************;"11.805.397/0001-05";Sociedade Empresária;"22/07/1987";Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;61.700.000;CE;Aquiraz;Aquiraz;LOC PORTO DAS DUNAS, Nº 2734 ;(85) 4012-3022;;danielrodrigues@beachpark.com.br;rafaela@beachpark.com.br;www.beachpark.com.br;"06.007081.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";60.001;Água;Espanhol ,Inglês;Água;Disponibiliza ou Comercializa Por Meio Da Web ,Ambulatório ,Estacionamento ,Serviço Medico
FUNDAÇÃO PARQUE TECNOLÓGICO ITAIPU - BRASIL;COMPLEXO TURÍSTICO ITAIPU;"07.769.688/0001-18";Sociedade Empresária;"23/03/2006";Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;85.856.970;PR;Foz do Iguaçu;Jardim Itaipu;AV. TANCREDO NEVES, 6731;(45) 3520-5854;(45) 3576-7475;turismoitaipu@turismoitaipu.com.br;;www.turismoitaipu.com.br;"18.010426.60.0001-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";60.001;Água;Espanhol ,Inglês;Água;Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Estacionamento ,Vestiário ,Serviço Medico
LOKOS PARQUES E TURISMO LTDA  EPP;ACQUALOKOS PARQUE AQUATICO;"11.304.955/0001-59";Sociedade Simples;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;95.555.000;RS;Capão da Canoa;Capão da Canoa;ESTRADA DO MAR, KM  50,  2000;(51) 3625-2992;;financeiro@acqualokos.com.br;;;"23.061213.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";220.000;Água;Espanhol ,Francês ,Inglês;Água;
BONDINHOS AÉREOS PARQUE COLINA LTDA;PARQUE COLINA;"12.071.455/0001-87";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;88.270.000;SC;Nova Trento;Nova Trento;RUA NICOLAU NICOLODI;(48) 3267-4047;(48) 3267-4047;administrativo@parquecolina.com.br;;;"24.051092.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";0;Entretenimento;Espanhol;Entretenimento;
TIMBÓ TURISMO ECOLÓGICO E RURAL LTDA - ME;PARQUE TIMBÓ;"08.855.628/0001-80";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;49.390.000;SE;Salgado;Salgado;ESTRADA DO TIMBÓ Nº 2900 POVOADO QUEBRADA V ZONA RURAL;(79) 9972-2835;;jorgetimbo@parquetimbo.com.br;;;"25.073516.60.0001-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";100.000;Água;Nenhuma das Opções;Água;
AGUAS DE LAJE BONITA EMPREENDIMENTOS TURISTICOS LTDA - ME;ENGENHO LAJE BONITA;"05.817.979/0001-09";Sociedade Empresária;"01/02/2008";Microempresa;Em Operação;Parque Temático;Parque Temático;55.415.000;PE;Quipapá;Quipapá;ENGENHO LAJE BONITA - S/N - BR104-KM 133-ZONA RURAL;(81) 9292-5052;;engenho@lajebonita.com.br;;WWW.LAJEBONITA.COM.BR;"16.021370.60.0001-1";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.500;Água;Nenhuma das Opções;Água;
BONTUR S.A. BONDINHOS AÉREOS;PARQUE UNIPRAIAS;"83.551.382/0001-79";Sociedade Empresária;"26/08/1999";Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;88.330.908;SC;Balneário Camboriú;Centro;AV.ATLANTICA, 6006;(47) 3404-7600;(47) 3404-7600;parque@unipraias.com.br;;www.unipraias.com.br;"24.019546.60.0001-7";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";201.000;Entretenimento;Espanhol ,Inglês;Entretenimento;
MIRABILANDIA PARK LTDA;MIRABILANDIA PARK;"04.837.184/0001-08";Sociedade Empresária;"11/01/2002";Microempresa;Em Operação;Parque Temático;Parque Temático;53.110.110;PE;Olinda;Salgadinho; -AV.PROFESSOR ANDRADE BEZERRA,1285                    ;(81) 3366-2000;;gleide@mirabilandia.com.br;;www.mirabilandia.com.br;"16.034829.60.0001-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";61.000;Entretenimento;Inglês;Entretenimento;
LISMAR LTDA;GAMESTATION;"10.476.588/0071-10";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;54.360.160;PE;Jaboatão dos Guararapes;Marcos Freire;AVENIDA BARRETO DE MENEZES N° 800   LOJA 171;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077126.60.0071-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.394;Entretenimento;Nenhuma das Opções;Entretenimento;
YMA ENTRETENIMENTO CULTURAL E ARTISTICO LTDA-ME;YMA ENTRETENIMENTO CULTURAL E ARTISTICO LTDA-ME;"09.465.879/0002-00";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;28.613.000;RJ;Nova Friburgo;Centro;AVENIDA ALBERTO BRAUNE, Nº 12 SALA: 603;(21) 9538-3884;(21) 7973-2335;ymacontato@oi.com.br;;;"19.079962.60.0002-0";"7739-0/99-EQUIPAMENTOS DE SOM; ALUGUEL DE, LOCAÇÃO DE (Secundário), 9319-1/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS; SERVIÇOS DE (Secundário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";0;Cultural;Nenhuma das Opções;Cultural;
AQUA RIO AQUARIO MARINHO DO RIO JANEIRO S.A.;AQUA RIO AQUARIO MARINHO RIO DE JANEIRO S.A.;"19.624.745/0001-50";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;20.220.360;RJ;Rio de Janeiro;Saúde;AV RODRIGUES ALVES, Nº 379 / 431, 433 E 435;(21) 96712-8295;;contato@aquariomarinhodorio.com.br;;www.aquariomarinhodorio.com.br;"19.080308.60.0001-8";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";288,31;Água;Espanhol ,Francês ,Inglês;Água;
ENGENHOCA EMPREENDIMENTOS TURISTICOS LTDA - EPP;ENGENHOCA PARQUE ECOEDUCATIVO;"14.583.342/0001-96";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;61.700.000;CE;Aquiraz;Aquiraz;RUA RAIMUNDO COELHO 200 - CENTRO;(85) 3361-1010;(85) 3361-1333;claudiatargino@parqueengenhoca.com.br;engenhoca@parqueengenhoca.com.br;www.parqueengenhoca.com.br;"06.075665.60.0001-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";63.000;Entretenimento;Inglês;Entretenimento;
LISMAR LTDA;GAMESTATION;"10.476.588/0065-72";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;51.020.280;PE;Recife;Boa Viagem;R.PADRE CARAPUCEIRO N. 777 LJ.PC-170 E PC 199;(81) 3201-0300;;tomas.magalhaes@gamestation.com.br;;;"16.077127.60.0065-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.266,67;Entretenimento;Nenhuma das Opções;Entretenimento;
LISMAR LTDA;GAME STATION;"10.476.588/0001-08";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;50.070.030;PE;Recife;Boa Vista;RUA JOSÉ ALENCAR  N ° 388;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077124.60.0001-3";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";1.456,72;Entretenimento;Nenhuma das Opções;Entretenimento;
FOZ TROPICANA PARQUE DE AVES LTDA;PARQUE DAS AVES;"00.090.638/0001-60";Sociedade Empresária;"14/06/1994";Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;85.853.000;PR;Foz do Iguaçu;Vila Yolanda;RODOVIA DAS CATARATAS, KM 17,1 S/N;(45) 3529-8282;(45) 3529-8282;mariaines@parquedasaves.com.br;;www.parquedasaves.com.br;"18.011860.60.0001-2";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";165.614;Entretenimento;Alemão ,Espanhol ,Italiano ,Francês ,Inglês;Entretenimento;Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Programas Recreativos ,Estacionamento ,Fraldário
ODY PARK PARQUE AQUÁTICO LTDA - ME;ODY PARK PARQUE AQUÁTICO;"06.828.881/0001-10";Sociedade Empresária;"19/08/2004";Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;86.750.000;PR;Iguaraçu;Iguaraçu;"RODOVIA PR 317, LOTE DE TERRAS ""1-J""  S/Nº ";(44) 3248-8000;(44) 3248-8025;financeiro@odypark.com.br;comercial@odypark.com.br;www.odypark.com.br;"18.013441.60.0001-4";"5510-8/01-HOTEL (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário), 9321-2/00-PARQUE AQUÁTICO; EXPLORAÇÃO DE (Secundário)";30.000;Água;Nenhuma das Opções;Água;
ESFECO ADMINISTRAÇÃO LTDA;TREM DO CORCOVADO;"29.262.672/0001-57";Sociedade Empresária;"03/03/1885";Microempresa;Em Operação;Parque Temático;Parque Temático;22.241.090;RJ;Rio de Janeiro;Cosme Velho;RUA COSME VELHO, 513;(21) 2558-1329;(21) 2558-1329;savioneves@corcovado.com.br;m.e.magalhaes@corcovado.com.br;WWW.CORCOVADO.COM.BR;"19.002386.60.0001-4";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";200;Histórico;Espanhol ,Inglês;Histórico;Disponibiliza ou Comercializa Por Meio Da Web ,Equipamentos Pessoas Com Deficiencia/Mobilidade Reduzida ,Ambulatório
PAINEIRAS - CORCOVADO LTDA;PAINEIRAS - CORCOVADO;"15.479.676/0001-87";Sociedade Empresária;"01/01/1990";Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;22.241.330;RJ;Rio de Janeiro;Santa Teresa;ESTRADA DAS PAINEIRAS, S/Nº;(21) 2225-7036;(21) 2255-7699;pablo@paineirascorcovado.com.br;;WWW.KOHZON.COM.BR;"19.079933.60.0001-0";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Secundário)";730;Entretenimento;Espanhol ,Inglês;Entretenimento;
LISMAR LTDA.;LISMAR LTDA.;"10.476.588/0040-14";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;57.038.000;AL;Maceió;Cruz das Almas;AV. GUSTAVO PAIVA, 2990 - LOJA 277 2º PAVIMENTO;(81) 3201-0300;;marcela.marques@gamestation.com.br;;;"02.077133.60.0040-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";855;Entretenimento;Nenhuma das Opções;Entretenimento;
LISMAR LTDA;GAMES STATION;"10.476.588/0032-04";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;41.701.005;BA;Salvador;Alphaville I;AV. LUIS VIANA, 8544,LJ 222A- SHOPPING PARALELA;(81) 3201-0300;;paula@gamestation.com.br;;www.gamestation.com.br;"05.077130.60.0032-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";0;Entretenimento;Nenhuma das Opções;Entretenimento;
VILA ENCANTADA LTDA EPP;VILA ENCANTADA;"13.442.669/0001-85";Sociedade Empresária;;Microempresa;Em Operação;Parque Temático;Parque Temático;89.107.000;SC;Pomerode;Pomerode;RUA HERMANN WEEGE, 204, CENTRO;(47) 3333-1427;(47) 3333-8882;agenda@vilaencantada.com.br;;;"24.070649.60.0001-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";60;Entretenimento;Nenhuma das Opções;Entretenimento;
ECO-NORONHA S/A;ECO-NORONHA S/A;"19.879.417/0001-02";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Parque Temático;Parque Temático;53.990.000;PE;Fernando de Noronha;Fernando de Noronha;ALAMEDA DO BOLDRO , S/N;(81) 3619-1378;;financeirofn@econoronha.com.br;;;"16.072087.60.0001-5";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";0;Entretenimento;Inglês;Entretenimento;
LISMAR LTDA;GAMESTATION;"10.476.588/0061-49";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Parque Temático;Parque Temático;50.110.000;PE;Recife;Santo Amaro;AVENIDA AGAMENON MAGALHÃES N ° 153 LJ 328 , 334 , 335  2° PISO;(81) 3201-0300;;marcela.marques@gstation.com.br;;;"16.077121.60.0061-0";"9321-2/00-PARQUE TEMÁTICO; EXPLORAÇÃO DE (Primário)";646,85;Entretenimento;Nenhuma das Opções;Entretenimento;
